id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
044osg6Cw2BLj7VQGSVjEl,Reborn,Dok2,4,89.932,0.065,0.109,0,0.0463,0.152,0,-6.444,1,0.691,0.697
0RW9OdzPb3OsX3aApyoMLL,"Ambition and Vision (feat. Beenzino, Changmo, Keem Hyo-Eun, Hash Swan, The Quiett)",Dok2,4,98.065,0.309,0.114,0,0.0598,0.287,1,-5.328,3,0.807,0.788
137hF3xAZrB27rBUo5Qx5B,Rollercoaster (feat. Cho Wonseon),Dok2,4,124.804,0.484,0.0802,0,0.275,0.363,0,-6.06,2,0.579,0.779
7hV1vaZ28WhjzfaMHUvKju,Hiphop Lover,Dok2,4,86.701,0.677,0.191,0,0.114,0.362,0,-4.79,6,0.821,0.697
1ZxuVYETGh45V8GaAqZjIQ,Plus 82 (feat. Bryan Chase),Dok2,4,114.417,0.423,0.307,0,0.0457,0.403,1,-6.615,0,0.594,0.584
3DhC655MHiHtkrCP8z6odq,WTF(who the fuck),Dok2,4,130.075,0.596,0.244,0,0.273,0.401,0,-6.161,9,0.777,0.879
3Tg15G7FCHKHrxeD7xtgFC,Wattup (feat. Keem Hyo-Eun),Dok2,4,104.9,0.559,0.112,0,0.00631,0.318,1,-6.04,9,0.595,0.779
6ut6L02jr4LZUD9stmb3I2,"In My Whip (feat. Jay Park, Superbee, The Quiett)",Dok2,4,107.998,0.519,0.114,0,0.046,0.301,0,-6.528,4,0.674,0.856
0MeBP6hdJZ0jIPetbuOIaK,On&On (feat. Lee Hi),Dok2,4,91.849,0.835,0.147,0,0.292,0.258,0,-5.964,10,0.749,0.737
4iMhoeL5KZGGhEOMxwsNe2,"Money Dance (feat. B-Free, Bryan Chase, Okasian)[Bonus Track]",Dok2,4,122.024,0.234,0.0992,0,0.0492,0.152,1,-7.922,11,0.587,0.834
7vBMlFHfDoZqHCf7sWLWu5,1LL Recognize 1LL (Bonus Track),Dok2,4,158.889,0.316,0.308,0,0.295,0.347,0,-6.988,4,0.776,0.646
5osZBPXvmjykYnGwmgyfov,Beverly 1lls Remix (feat. The Quiett)[Bonus Track],Dok2,4,126.212,0.648,0.258,0,0.0907,0.314,1,-4.387,0,0.724,0.809
7h8KGENglYCGD6MD6PfeRu,"1llusion Remix (feat. The Quiett, Keem Hyo-Eun, CHANGMO, Hash Swan)[Bonus Track]",Dok2,4,96.872,0.581,0.127,0,0.23,0.395,0,-7.749,10,0.637,0.728
4UbaZAO9B9JwCahiirmMA5,Chikichakachokocho,Dok2,4,110.013,0.219,0.082,3.22e-06,0.122,0.123,1,-3.18,5,0.778,0.85
