id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
3xptfuGMUi8PENWIsMyMTB,內部整修 (Intro),Soft Lipa,4,90.021,0.757,0.479,0,0.886,0.459,0,-10.328,5,0.635,0.394
7ifuXEw6uvq3C3W1QeAzbt,如夢似幻,Soft Lipa,4,92.999,0.576,0.0346,2e-05,0.155,0.0584,0,-5.723,9,0.824,0.772
2nZqyGOsAIOHKQOwnvp7te,冰河時期,Soft Lipa,4,95.01,0.498,0.241,9.68e-06,0.0627,0.381,0,-10.013,9,0.73,0.844
1EDRHKWBvioS7zmUdX0by8,綁架我,Soft Lipa,4,90.044,0.755,0.128,0,0.406,0.364,0,-7.992,10,0.431,0.895
030ilDc67UTyip1UIrYWQT,當我來到這裡,Soft Lipa,4,98.01,0.732,0.0532,0,0.349,0.0746,0,-6.088,4,0.842,0.709
3yk0ncplOKP51Rx6AhiWYu,屎王,Soft Lipa,4,102.035,0.863,0.168,0,0.228,0.0895,1,-8.521,2,0.623,0.904
5wrZ305cMA12K8zLhOgCho,您所撥的電話,Soft Lipa,4,191.629,0.859,0.0861,0.902,0.111,0.112,0,-7.829,7,0.622,0.717
5OlEiOjCjJz65QBLUmPiR0,Ahh Yeah,Soft Lipa,4,101.974,0.945,0.0915,0,0.679,0.0399,0,-7.404,8,0.696,0.845
6EQZfM9bFdDg6KGmtAQb6f,空襲與庇護所,Soft Lipa,4,97.238,0.634,0.619,0.937,0.33,0.647,0,-8.665,2,0.679,0.555
4CjsfB0jDEgLcAXrlOyFmR,雨沒停過,Soft Lipa,4,92.008,0.831,0.108,0,0.466,0.12,0,-9.531,1,0.444,0.86
2yxyZ01YJO3cc03IYKqmuV,仇人的孩子,Soft Lipa,4,180.027,0.813,0.105,3.02e-05,0.585,0.245,1,-8.677,1,0.601,0.74
3wGMGP0QC1pb0EzlAp72RN,7樓的鋼琴老師,Soft Lipa,3,173.746,0.0416,0.599,0.821,0.841,0.107,0,-10.699,9,0.902,0.214
06kW5vZLjgI3kQzrEtYgZ9,墜落,Soft Lipa,4,91.991,0.374,0.101,0.00921,0.375,0.271,0,-8.846,4,0.51,0.827
6NLhfpPDoyH4BCB5gEu7HM,落幕,Soft Lipa,3,98.103,0.245,0.0878,0.92,0.94,0.0504,1,-20.128,7,0.261,0.585
4eBcCfRm8QRcTOqX7PHmNb,演員,Soft Lipa,4,88.0,0.87,0.338,8.5e-05,0.0904,0.0398,0,-8.139,4,0.739,0.605
66JjWkiwS9qHNpbGvcADux,我們都有問題,Soft Lipa,4,85.547,0.574,0.0889,0.000203,0.687,0.218,0,-8.557,9,0.526,0.623
3OKCzWllFHmC5Ul3axFxhj,台北市大安區,Soft Lipa,3,116.505,0.0627,0.324,0,0.717,0.413,1,-19.727,3,0.67,0.548
0RXtSRTibMC3HsQRlKQocb,房間,Soft Lipa,4,96.983,0.559,0.677,0.000971,0.605,0.0347,0,-5.881,1,0.544,0.61
5HR7lxxdCTahErRPyJRfPS,Deep Sleep,Soft Lipa,4,88.001,0.721,0.161,0.546,0.00478,0.0305,1,-9.57,5,0.653,0.661
2lEvO3IVIA7nNSCzvdqQ4f,夢的作者,Soft Lipa,3,128.913,0.986,0.0445,0.00121,0.484,0.239,1,-5.578,0,0.813,0.926
3KQN6Qr7BNyvwOUjXDVSaM,寫一首歌,Soft Lipa,4,94.032,0.851,0.0618,0,0.437,0.268,0,-7.939,6,0.596,0.711
5AgV0ZjDHt283ObzR7MPnq,伊爾的移動,Soft Lipa,4,86.152,0.0764,0.393,0.176,0.616,0.478,0,-9.933,3,0.886,0.347
7gy0nKyGIZvdV05M0ZGMSj,梅雨記,Soft Lipa,4,92.869,0.225,0.455,0,0.489,0.278,1,-10.25,2,0.477,0.75
3xlbbocQnVQvqMJfpaM8Zb,Rewind,Soft Lipa,4,82.063,0.964,0.666,0.536,0.207,0.0483,1,-7.21,2,0.785,0.731
3YmOPpGFkQegEcJpFMFsQf,Hohoho 2006,Soft Lipa,4,93.765,0.181,0.761,0.691,0.0609,0.045,0,-8.441,10,0.817,0.5
6i2oWpLh1Bt8F5BVaiyHmr,史詩,Soft Lipa,4,175.925,0.558,0.109,0.0214,0.255,0.0656,0,-7.635,10,0.883,0.582
4ljzvnLdnQuY1hDUcc8Oyu,ShinLip - Intro,Soft Lipa,4,90.975,0.9,0.35,0.000366,0.746,0.0811,0,-6.039,1,0.921,0.743
6dRrc1ARWruXuJb1jE32Ll,踩.腳.踏.車,Soft Lipa,4,92.024,0.785,0.153,0,0.192,0.198,1,-7.534,1,0.684,0.877
56bItrflqc7OZwfSC85sj0,Day by Day - Interlude,Soft Lipa,4,92.997,0.504,0.192,0.861,0.107,0.0556,1,-8.923,6,0.721,0.724
6GmRxBfE68sxJBRcMsKvtU,噓,Soft Lipa,4,94.997,0.8,0.0993,1.21e-05,0.135,0.0383,0,-7.776,1,0.515,0.79
49RpBBk001WCIA4HzEPTOv,黃昏濱海 - Interlude,Soft Lipa,4,94.012,0.515,0.115,0.924,0.204,0.0591,1,-7.698,4,0.375,0.853
2uZodJRUpmVX9JD0hljwlt,聽一首歌,Soft Lipa,4,92.017,0.876,0.261,0,0.528,0.036,1,-5.246,8,0.764,0.756
3NbMg7B5164jDSopIQe811,"MPC, Turntables and Mic - Skit",Soft Lipa,4,91.889,0.883,0.351,3.45e-06,0.816,0.152,0,-9.237,10,0.632,0.882
