id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
6wzGqTvlpSpnr1qgSZSQ2O,Wrong question,The Black Skirts,4,123.895,0.231,0.397,0.023,0.355,0.0378,1,-8.266,9,0.386,0.548
16GizD0YDuesWfMcrVfpF9,Lester Burnham,The Black Skirts,4,161.936,0.256,0.124,0.0408,0.066,0.0568,1,-0.318,9,0.899,0.173
7zndwH0fpkMvyftxSEGjlu,Island (queen of diamonds),The Black Skirts,4,120.003,0.494,0.312,0.000233,0.217,0.0379,1,-6.2,9,0.698,0.541
1xvSbNUKm3Ig7LkguLSFO4,Sangsu station,The Black Skirts,4,84.023,0.207,0.193,0.00998,0.052,0.0464,1,-9.87,8,0.506,0.668
53BlVwAncsXa8x4nQSEfxT,Mad dog diary,The Black Skirts,4,207.937,0.731,0.106,0,0.579,0.0591,1,-7.463,7,0.647,0.479
3QE5Pjm5FR1L8aGvrqiKRZ,Bollywood,The Black Skirts,4,77.976,0.172,0.27,0.00466,0.0469,0.0337,1,-8.29,2,0.554,0.489
6goInTbslJn9dnI48KBET2,Holiday,The Black Skirts,4,99.875,0.341,0.124,0.0187,0.789,0.025,1,-9.867,5,0.365,0.508
3UcR3EybbM9V38eg8HXYu6,Put me on drugs,The Black Skirts,4,192.337,0.171,0.271,0.845,0.0315,0.0502,1,-4.41,9,0.846,0.131
07e7yumkMqSQdcOfHzhk3n,Hawaiian black sand,The Black Skirts,3,171.834,0.177,0.116,0.324,0.589,0.0298,1,-6.892,5,0.392,0.213
6IbDQAFa0xsJaAOkXzIy2r,Thinner than water,The Black Skirts,4,94.425,0.231,0.103,0.0431,0.807,0.0292,1,-12.089,5,0.231,0.486
7r2cTynIUPlmlAo0R5NZP5,My shadow,The Black Skirts,4,119.898,0.191,0.113,0.22,0.721,0.0277,1,-10.853,0,0.445,0.545
5QcdvJG1A3nSdBxkDmVN2j,Blood and thirst (king of hurts),The Black Skirts,4,119.978,0.111,0.0744,0.846,0.488,0.0294,1,-9.822,9,0.379,0.432
7ByF0LNzwzOJqCXhL5Dlz0,That's Not Me,The Black Skirts,4,81.85,0.152,0.173,0.977,0.788,0.0344,1,-10.336,2,0.327,0.311
4xuyy1ENdTyMA9RHRiWvEA,Big Love,The Black Skirts,4,119.956,0.572,0.128,0.00174,0.000377,0.0284,1,-4.873,2,0.748,0.579
089U1Bc7KlI1UMBtrHIH3f,Diamond,The Black Skirts,4,119.995,0.345,0.0944,0.0016,0.485,0.028,1,-5.147,9,0.75,0.514
5W5f6ss8P9djomagdan7RC,Love Is All,The Black Skirts,4,176.794,0.693,0.0968,1.95e-05,0.625,0.0319,1,-6.697,5,0.577,0.278
002ZM2SnPUgv6oOMYYrirT,In My City of Seoul,The Black Skirts,4,203.764,0.503,0.394,0.00213,0.756,0.0384,1,-8.867,7,0.475,0.422
6pLoGQTTCh7Toz5As1ne4g,Confetti and Balloons,The Black Skirts,4,168.023,0.279,0.0885,0.000739,0.745,0.0595,1,-6.354,10,0.688,0.525
3xB2FlDK3g4L9e8Usc0QqG,1:05,The Black Skirts,4,88.007,0.553,0.142,6.9e-05,0.373,0.0247,1,-6.953,4,0.674,0.636
3nxcFabbfDQ2phuqrsKjLA,Who Do You Love,The Black Skirts,4,77.837,0.241,0.206,0.368,0.769,0.0266,1,-6.969,7,0.469,0.404
5ym6N9gpy8o6pAW7yTHXHm,Heya,The Black Skirts,3,55.129,0.059,0.334,0.827,0.659,0.032,1,-9.092,5,0.379,0.155
3xdJ42suORqOpgwwZTtw76,EVERYTHING,The Black Skirts,4,119.853,0.387,0.146,0.927,0.656,0.0279,1,-8.591,6,0.373,0.54
6c4vcUse4eaS1bsSU1bgbR,Where R U,Mamamoo,5,127.362,0.522,0.329,0,0.384,0.144,0,-3.594,6,0.727,0.494
6E7jAJN2e3znSHyPCdQqx8,gogobebe,Mamamoo,4,96.929,0.707,0.228,0,0.114,0.082,1,-3.113,0,0.787,0.704
4PaV21Q4jkSvfQ5iAcFJef,Waggy,Mamamoo,4,124.958,0.877,0.0807,0.000298,0.531,0.0981,0,-5.371,5,0.793,0.913
1rQOD7DtJh36OYmRoXQe8o,25 (Solo WheeIn),Mamamoo,4,124.038,0.244,0.124,0,0.667,0.0465,1,-6.134,11,0.501,0.61
7BtlHtI069TtNFUkLdjpxf,Bad bye,Mamamoo,4,139.929,0.348,0.0995,0,0.109,0.0949,0,-4.201,6,0.705,0.667
6cf5TJ3mCkhsWJxj1kTKyB,My star,Mamamoo,4,147.952,0.513,0.566,2.01e-06,0.0567,0.0566,0,-4.636,7,0.691,0.736
3mjUCeK49LDqvDGj5Axm7y,4season (Outro),Mamamoo,4,182.017,0.23,0.126,0,0.538,0.157,1,-6.245,2,0.664,0.43
2neXx5N1TgjTxoqAEvoaS6,Intro,Mamamoo,3,76.617,0.505,0.133,0,0.881,0.0346,1,-11.331,7,0.269,0.544
3KxYiSZ4n7ih45JtE2T518,No more drama,Mamamoo,4,116.931,0.424,0.126,0,0.113,0.0368,0,-3.588,0,0.826,0.725
2qwyjoSsSr3M7HTt611Q5O,Wind flower,Mamamoo,4,113.988,0.825,0.0665,0,0.656,0.0518,1,-2.918,0,0.795,0.735
0HpLJx1WSjDotLuHkHLlZr,HELLO (Solo Solar),Mamamoo,4,105.05,0.149,0.114,0,0.524,0.0466,1,-4.071,7,0.8,0.631
3Ab6JZWdTEj48lrHFg1HBI,Better than I thought,Mamamoo,4,94.973,0.648,0.0785,0,0.501,0.141,0,-6.047,0,0.497,0.749
2FdCy1Qxz8z1JiVaTKyOy1,Morning,Mamamoo,4,136.883,0.216,0.12,0,0.747,0.0571,1,-5.722,0,0.643,0.457
6TKDtmFVLaHBqMQQwKeArv,Midnight Summer Dream,Mamamoo,4,167.857,0.635,0.186,0,0.208,0.153,0,-3.967,9,0.758,0.568
5Z4aqpT39KpY8gbHoJWdou,Egotistic,Mamamoo,4,97.898,0.595,0.175,0,0.315,0.067,0,-3.314,3,0.833,0.616
7u0ErMhA3PliMLkph2jlCM,Rainy Season,Mamamoo,4,91.058,0.614,0.219,0,0.806,0.0543,0,-4.448,2,0.6,0.677
