id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
6wzGqTvlpSpnr1qgSZSQ2O,Wrong question,The Black Skirts,4,123.895,0.231,0.397,0.023,0.355,0.0378,1,-8.266,9,0.386,0.548
16GizD0YDuesWfMcrVfpF9,Lester Burnham,The Black Skirts,4,161.936,0.256,0.124,0.0408,0.066,0.0568,1,-0.318,9,0.899,0.173
7zndwH0fpkMvyftxSEGjlu,Island (queen of diamonds),The Black Skirts,4,120.003,0.494,0.312,0.000233,0.217,0.0379,1,-6.2,9,0.698,0.541
1xvSbNUKm3Ig7LkguLSFO4,Sangsu station,The Black Skirts,4,84.023,0.207,0.193,0.00998,0.052,0.0464,1,-9.87,8,0.506,0.668
53BlVwAncsXa8x4nQSEfxT,Mad dog diary,The Black Skirts,4,207.937,0.731,0.106,0,0.579,0.0591,1,-7.463,7,0.647,0.479
3QE5Pjm5FR1L8aGvrqiKRZ,Bollywood,The Black Skirts,4,77.976,0.172,0.27,0.00466,0.0469,0.0337,1,-8.29,2,0.554,0.489
6goInTbslJn9dnI48KBET2,Holiday,The Black Skirts,4,99.875,0.341,0.124,0.0187,0.789,0.025,1,-9.867,5,0.365,0.508
3UcR3EybbM9V38eg8HXYu6,Put me on drugs,The Black Skirts,4,192.337,0.171,0.271,0.845,0.0315,0.0502,1,-4.41,9,0.846,0.131
07e7yumkMqSQdcOfHzhk3n,Hawaiian black sand,The Black Skirts,3,171.834,0.177,0.116,0.324,0.589,0.0298,1,-6.892,5,0.392,0.213
6IbDQAFa0xsJaAOkXzIy2r,Thinner than water,The Black Skirts,4,94.425,0.231,0.103,0.0431,0.807,0.0292,1,-12.089,5,0.231,0.486
7r2cTynIUPlmlAo0R5NZP5,My shadow,The Black Skirts,4,119.898,0.191,0.113,0.22,0.721,0.0277,1,-10.853,0,0.445,0.545
5QcdvJG1A3nSdBxkDmVN2j,Blood and thirst (king of hurts),The Black Skirts,4,119.978,0.111,0.0744,0.846,0.488,0.0294,1,-9.822,9,0.379,0.432
7ByF0LNzwzOJqCXhL5Dlz0,That's Not Me,The Black Skirts,4,81.85,0.152,0.173,0.977,0.788,0.0344,1,-10.336,2,0.327,0.311
4xuyy1ENdTyMA9RHRiWvEA,Big Love,The Black Skirts,4,119.956,0.572,0.128,0.00174,0.000377,0.0284,1,-4.873,2,0.748,0.579
089U1Bc7KlI1UMBtrHIH3f,Diamond,The Black Skirts,4,119.995,0.345,0.0944,0.0016,0.485,0.028,1,-5.147,9,0.75,0.514
5W5f6ss8P9djomagdan7RC,Love Is All,The Black Skirts,4,176.794,0.693,0.0968,1.95e-05,0.625,0.0319,1,-6.697,5,0.577,0.278
002ZM2SnPUgv6oOMYYrirT,In My City of Seoul,The Black Skirts,4,203.764,0.503,0.394,0.00213,0.756,0.0384,1,-8.867,7,0.475,0.422
6pLoGQTTCh7Toz5As1ne4g,Confetti and Balloons,The Black Skirts,4,168.023,0.279,0.0885,0.000739,0.745,0.0595,1,-6.354,10,0.688,0.525
3xB2FlDK3g4L9e8Usc0QqG,1:05,The Black Skirts,4,88.007,0.553,0.142,6.9e-05,0.373,0.0247,1,-6.953,4,0.674,0.636
3nxcFabbfDQ2phuqrsKjLA,Who Do You Love,The Black Skirts,4,77.837,0.241,0.206,0.368,0.769,0.0266,1,-6.969,7,0.469,0.404
5ym6N9gpy8o6pAW7yTHXHm,Heya,The Black Skirts,3,55.129,0.059,0.334,0.827,0.659,0.032,1,-9.092,5,0.379,0.155
3xdJ42suORqOpgwwZTtw76,EVERYTHING,The Black Skirts,4,119.853,0.387,0.146,0.927,0.656,0.0279,1,-8.591,6,0.373,0.54
3VZ7biRbb89aJbsUEP3JgS,Goodbye,The Black Skirts,4,119.983,0.348,0.375,0.000251,0.153,0.0991,1,-9.586,4,0.859,0.594
5XQ6ayYJH808Ky9NWeSgp2,Freeloader,The Black Skirts,4,170.01,0.928,0.324,0.331,0.00676,0.0391,1,-5.807,4,0.727,0.498
75vXzDJfGZ4WAy7ZHaynXU,Love Shine,The Black Skirts,4,109.993,0.789,0.206,0.007,0.0534,0.0271,0,-5.38,11,0.653,0.631
47gitBSOW6eWnapaHPDWEt,Only Son,The Black Skirts,4,95.393,0.779,0.113,0.675,0.109,0.035,1,-3.633,0,0.844,0.376
6JJBDryzob8iZVyzGmVot1,International Love Song,The Black Skirts,4,142.758,0.255,0.118,3.13e-06,0.486,0.0253,1,-6.352,10,0.502,0.498
5LI8Tifrw1XJnE4VnJl2ry,Weather,The Black Skirts,4,120.027,0.433,0.0565,0.00102,0.00242,0.0648,0,-6.325,11,0.945,0.579
2CNQxDGEl3vQO9AnvZPG48,Breakfast,The Black Skirts,4,145.926,0.659,0.124,3.37e-06,0.0463,0.03,1,-7.353,7,0.675,0.594
76mN40CAPdTfV9QPaHQHEP,The Music in Her,The Black Skirts,4,121.453,0.969,0.104,0.0623,0.00101,0.0315,1,-6.585,11,0.827,0.665
1d48AxDeNDCb3YThyrsREK,Young Love,The Black Skirts,4,94.038,0.672,0.136,2.73e-06,0.222,0.0359,1,-7.883,0,0.743,0.724
58ZXI0yHWdS4T9LrdJ5lQ5,Ariel,The Black Skirts,4,84.943,0.234,0.371,7.99e-06,0.00648,0.0335,1,-8.144,4,0.532,0.274
73sq6eiMz1ggkhIE1dTCLG,Chivalry,The Black Skirts,4,95.991,0.687,0.152,0.00525,0.069,0.0892,1,-5.272,4,0.915,0.385
1t8TqNENpZDoFvuYZGTOQx,Parrot,The Black Skirts,4,72.097,0.0846,0.0989,0.406,0.272,0.026,1,-10.832,0,0.293,0.504
2G4m6GAtP9yBRK5vU9iUFn,EVERYTHING,The Black Skirts,4,119.853,0.387,0.146,0.927,0.656,0.0279,1,-8.591,6,0.373,0.54
4kqN6K6J1nM18zivvFLx8v,Hollywood,The Black Skirts,4,147.953,0.513,0.1,0.904,0.149,0.0302,0,-8.082,1,0.782,0.552
