id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
79nMEOilzdlrQOHzq6FUHq,위로 Consolation,Urban Zakapa,3,79.645,0.171,0.3,1.11e-05,0.937,0.0269,1,-12.216,5,0.172,0.454
5vjc2vdwWdqP2cAAAFXCnj,미운 나 Self Hatred,Urban Zakapa,4,94.72,0.161,0.0844,0,0.644,0.0253,1,-6.369,5,0.36,0.493
4BAKEctOSmFy7wwgkG85VQ,피아노 앞에서 The Moment of Parting,Urban Zakapa,4,129.458,0.277,0.0984,0,0.887,0.0343,1,-7.323,2,0.246,0.477
0p2wq7YPDQxJGJr9Lzdk0V,매일 매일 매일 Every Single Day,Urban Zakapa,4,84.952,0.197,0.119,5.3e-06,0.763,0.0268,1,-5.763,9,0.465,0.596
275RsY8QAROG0gLrflM79N,Play,Urban Zakapa,4,75.02,0.565,0.414,0,0.439,0.0383,1,-5.977,5,0.455,0.749
4chunVDYuYqGvknMFu05K9,Like a Bird,Urban Zakapa,4,120.021,0.363,0.0672,1.25e-06,0.688,0.0321,0,-7.076,7,0.514,0.701
1V1rXGaEjFMaMqa4i158Ju,별 Starlight,Urban Zakapa,4,81.95,0.202,0.107,0.000922,0.704,0.0269,1,-5.863,11,0.345,0.466
6Z8Cz4wGfR2gKLCE54Bqb6,보내는 방법 The Way of Let Me Go,Urban Zakapa,4,126.366,0.107,0.115,2.06e-06,0.664,0.0326,1,-7.366,5,0.265,0.315
4Y1yoc9gxC8BySE0bHGL4l,어른이 되는 일 To Be a Grown Up,Urban Zakapa,3,149.506,0.221,0.118,2.12e-06,0.551,0.0271,1,-5.941,0,0.33,0.384
3QPQV6HajxlcwXBIxGE2J0,어떤 하루 One Day,Urban Zakapa,4,138.453,0.122,0.114,0,0.581,0.0314,1,-7.548,11,0.423,0.328
7gvbYYFnnsJuWyOF6MUbH0,코끝에 겨울 When Winter Comes,Urban Zakapa,4,140.069,0.17,0.0872,0,0.468,0.0323,1,-7.318,7,0.352,0.547
1MENkVWvvHTVNat3CDCnZw,다르다는 것 Blind,Urban Zakapa,4,137.98,0.136,0.11,0.00267,0.0314,0.0269,1,-6.476,2,0.478,0.543
0nQ1PhLX7ixeoCDFW5FKhr,Do,Urban Zakapa,4,95.14,0.655,0.0484,0,0.568,0.0451,1,-6.822,0,0.474,0.634
3gdiMmf5GAWXrKu6Uc0RB9,말해봐 Tell Me,Urban Zakapa,4,94.793,0.752,0.0972,0,0.795,0.115,0,-5.128,5,0.601,0.671
4r7uxJ0CaZBLg8m1K6kRfu,Like Love,Urban Zakapa,4,195.67,0.537,0.119,0,0.464,0.0541,1,-4.918,5,0.611,0.509
6jBgtUHWCHkruRpfTPTqWU,춤을 추다 I Dance,Urban Zakapa,4,119.907,0.276,0.117,3.41e-05,0.642,0.0364,0,-10.084,2,0.393,0.759
5nz6m28QoAj2A8IiHiyr4j,우울 Blue,Urban Zakapa,4,94.967,0.356,0.0985,5.48e-05,0.237,0.0526,0,-7.918,9,0.434,0.707
