id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
4FM4aqeurqquBXVNWm70ml,No Thank You,We Are The Night,4,91.044,0.256,0.139,0.000837,0.69,0.0976,1,-8.19,5,0.455,0.776
29rPWPyFVpEk51XWQSgrm3,Our Younger Days 깊은 우리 젊은 날,We Are The Night,4,117.999,0.145,0.175,1.85e-05,0.544,0.0356,0,-6.891,9,0.457,0.692
3frv0SvM4s7VXt9pEp3Omu,Deeper In Love 있잖아,We Are The Night,4,87.303,0.334,0.0702,0.306,0.221,0.0618,1,-7.944,6,0.524,0.372
1IPWWbMswU3M7ACApQaVF0,Like the Movie 그 드라마처럼,We Are The Night,4,127.908,0.5,0.0906,1.56e-05,0.594,0.0591,0,-6.707,5,0.31,0.81
6v8IXjdyjXWGMbYD8SZopP,Bubble Gum 풍선껌,We Are The Night,4,106.043,0.378,0.443,0.251,0.13,0.0288,0,-6.629,1,0.58,0.807
546kM9ecQtsbdzG3Ca7kuR,Hello and Goodbye 그대야 안녕,We Are The Night,4,91.007,0.525,0.157,0.000356,0.381,0.0289,0,-6.154,11,0.55,0.628
4ObxmowY2Jl6CXMxs4Loyw,LCD,We Are The Night,4,129.861,0.178,0.0891,0.364,0.661,0.0338,1,-5.325,2,0.649,0.428
6dZ8lEOGysUlCuInBVF9LE,Air Balloon 열기구,We Are The Night,4,112.017,0.866,0.0553,1.49e-05,0.77,0.0296,1,-5.526,5,0.553,0.822
4rGHE0VAqQsBediPBHOe1B,Tiramisu Cake,We Are The Night,4,122.984,0.846,0.0842,0,0.0702,0.0461,1,-5.217,6,0.497,0.928
28rJV6tH8AlHvU8fZQXXAx,Drive 드라이브,We Are The Night,4,122.01,0.61,0.0976,0.0244,0.451,0.0506,1,-6.986,5,0.621,0.748
51Rxeo0L9fakUUxlNjWqxR,"Star, Fire, Night 별, 불, 밤",We Are The Night,4,113.018,0.893,0.109,0.229,0.569,0.0463,1,-4.713,5,0.661,0.875
5nAEjB2A0vfzp1L9VLAt2M,"Rain, Color 레인, 컬러",We Are The Night,4,144.962,0.816,0.0715,2.2e-05,0.618,0.0295,0,-5.615,9,0.63,0.702
52xMtE2ycKmI4hB7jfUIbW,All Right,We Are The Night,4,100.006,0.939,0.029,0.000785,0.0321,0.0724,1,-4.145,1,0.53,0.734
1gPuxDkClRjgfmCtH0cVz8,"Star, Fire, Night 별, 불, 밤 - Phatty.H Remix",We Are The Night,4,112.999,0.684,0.11,0.871,0.947,0.0536,0,-8.019,2,0.801,0.72
3fofkE4gGfxfjdlKYhmN21,"Lie 거짓말 (Feat. Gogang, jeebanoff)",We Are The Night,4,95.137,0.523,0.26,0.0584,0.398,0.0866,1,-5.196,9,0.658,0.365
4CWpoLTSzOII4z2WPPfk1E,Lie 거짓말 - Instrumental,We Are The Night,4,182.015,0.421,0.0895,0.921,0.148,0.0493,1,-6.242,9,0.504,0.62
41mmblVBKV1QqzAsaq9ogD,When It Snows 눈이 오는 날,We Are The Night,4,80.037,0.284,0.331,0.0561,0.719,0.0444,0,-8.972,1,0.389,0.443
3ATE6ER7oeeW5ONeypCR1I,SF,We Are The Night,4,160.087,0.205,0.107,0.52,0.00644,0.0294,0,-4.681,6,0.741,0.457
6Jx06CqjXLM7VYljqkCRcL,Dreamcatcher 드림캐처,We Are The Night,4,105.077,0.278,0.216,0.0228,0.0871,0.034,1,-4.677,5,0.817,0.598
3EknVcFGJai2fHVujrgvQj,You Are In,We Are The Night,4,103.023,0.805,0.127,0.000801,0.0516,0.0298,1,-6.165,7,0.541,0.748
2WxESHw4UFhmNUb9PVKpXV,Abnormal,We Are The Night,4,100.022,0.724,0.186,0.000217,0.112,0.0367,0,-5.755,2,0.794,0.639
3nvwPusnjuclSYypnE8UYB,Eyes,We Are The Night,4,140.009,0.144,0.125,0.709,0.356,0.0553,1,-9.364,10,0.386,0.652
6DTAKGayi7vvFPic1qN0ES,Eternal,We Are The Night,4,113.989,0.653,0.0557,0.0225,0.211,0.0499,1,-8.081,6,0.666,0.79
23Gp5K00EvSQre6762nHRX,Mutual,We Are The Night,4,151.79,0.238,0.107,0,0.679,0.0302,1,-8.199,2,0.395,0.541
