id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
3pYKGgI0CzsiXUtqI97tuR,in the car,offonoff,4,116.998,0.248,0.067,0.00125,0.896,0.0631,0,-13.315,2,0.339,0.764
14p5EKgbPx4U3P1j5JNHeh,"Cigarette (Feat. Tablo, MISO)",offonoff,4,87.98,0.438,0.14,2.21e-06,0.271,0.207,0,-10.493,5,0.392,0.776
0EYOhg4jMf7hCLeQIxlvKL,gold (Feat. Dean),offonoff,4,117.016,0.729,0.359,1.05e-06,0.57,0.0799,0,-8.2,10,0.647,0.883
2byAARFegismY8FUFj8u6M,Good2me (Feat. PUNCHNELLO),offonoff,4,114.957,0.418,0.1,0,0.648,0.157,0,-9.44,11,0.49,0.841
77bGNpC1hZH3JSZQhR1vxn,boy,offonoff,4,131.958,0.132,0.108,0,0.694,0.0606,0,-8.473,7,0.387,0.73
0PkpRtJqrwuXhbdtJuQm7E,Photograph,offonoff,4,90.15,0.184,0.105,0,0.809,0.0609,1,-8.295,3,0.458,0.597
08XMdqJhaCUQ6dUGvMnNVt,film roll,offonoff,4,128.217,0.158,0.363,3.48e-05,0.96,0.0507,0,-15.36,1,0.114,0.48
3rQmTAyMDDZ73rMyhLkn98,Dance,offonoff,4,89.03,0.407,0.105,6.56e-06,0.717,0.0339,0,-6.976,3,0.393,0.805
6SuEgkFfiESo1pMLSyAbl3,midnight,offonoff,4,101.053,0.64,0.0899,8.71e-05,0.712,0.0499,0,-11.732,3,0.314,0.82
57mWHxgHxZnhFhFiBrpYUV,"Moon, 12:04am",offonoff,4,114.753,0.178,0.136,0.000397,0.955,0.0287,1,-10.992,6,0.277,0.568
2d9wb1ricMFwSjMegIxPms,homeless door (Feat. Rad Museum),offonoff,4,117.121,0.631,0.241,0.000212,0.762,0.0958,1,-9.515,3,0.233,0.802
1OJExKEuSvIdtw9NIaszOc,Overthinking,offonoff,4,89.032,0.0643,0.132,0.0416,0.939,0.0295,1,-11.358,8,0.177,0.499
07zUkdU3taUYNMqubIfJ9L,Photograph,offonoff,4,89.605,0.208,0.095,0,0.575,0.107,1,-6.26,3,0.482,0.364
6vFDPI2TNtyRSdlK5ie5el,"Moon, 12:04am",offonoff,4,57.538,0.211,0.165,4.11e-05,0.918,0.027,0,-7.522,3,0.345,0.537
22tAOnXPrSFOp2En3WcyyA,bath,offonoff,4,123.919,0.125,0.371,0.000577,0.721,0.0402,0,-7.85,7,0.346,0.65
