id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
6PuDnNxBJsxypNXqALqKgX,Sleepless,Epik High,5,128.659,0.273,0.103,0.897,0.992,0.118,0,-34.997,2,0.0455,0.498
4PA4shomDPO4XTHUYbNmjB,In Seoul,Epik High,4,159.851,0.171,0.34,0.0161,0.0237,0.255,1,-6.37,10,0.674,0.457
2nRm7BbBcpVaInDBCag61K,Lovedrunk,Epik High,4,89.932,0.493,0.104,0,0.526,0.132,1,-6.294,7,0.704,0.732
4fJCpN7FSKLMt22aKQxSuJ,Eternal Sunshine,Epik High,4,97.021,0.686,0.0821,0,0.188,0.275,1,-6.267,2,0.713,0.847
7ztlf9mCrjoLXAYYf0LCYx,No Different,Epik High,4,131.912,0.238,0.137,8.25e-05,0.0307,0.0535,1,-6.127,1,0.6,0.732
5E6YIdUMaGNxfyLjmutMKn,Rain Again Tomorrow,Epik High,4,116.004,0.777,0.085,1.97e-05,0.283,0.0874,1,-8.536,7,0.489,0.894
4uf6GYD0cShgYKvRiKDNYt,Lullaby For A Cat,Epik High,4,138.007,0.277,0.107,0.883,0.808,0.0398,1,-10.942,2,0.324,0.659
7qLvwgaoM9L3FflkaJT0Dt,PEOPLE SCARE ME,Epik High,4,90.192,0.447,0.0914,0,0.0678,0.0998,1,-5.025,8,0.886,0.567
4q9zQ8wm3J2O8fzrV18XwP,LOVE STORY,Epik High,4,92.982,0.761,0.0456,0,0.561,0.103,1,-4.957,6,0.865,0.729
2YwPo7S3aSkafouarC7Gyn,NO THANXXX,Epik High,4,97.988,0.697,0.0784,0,0.143,0.216,1,-5.013,7,0.755,0.825
7A2RLTIRAbncB7EwCV2JRq,HOME IS FAR AWAY,Epik High,4,93.987,0.5,0.0937,0,0.356,0.127,0,-6.331,7,0.858,0.78
2uQ2sakAeeGhevyZQwprxN,HERE COME THE REGRETS,Epik High,4,135.034,0.434,0.119,3.11e-06,0.678,0.153,0,-5.596,0,0.641,0.499
00JtB9hdWM8PO2gSBP9nd3,THE BENEFITS OF HEARTBREAK,Epik High,4,68.027,0.267,0.116,0.00611,0.803,0.266,0,-13.616,10,0.309,0.632
5TVCpIsRzpidZzyD2Xor4q,BLEED,Epik High,4,94.021,0.578,0.0856,0,0.327,0.0707,1,-6.419,6,0.609,0.837
4XQzpXfGWVuSlxhatzjaKQ,TAPE 2002 7 28,Epik High,5,110.517,0.59,0.0981,0.00206,0.566,0.538,1,-11.975,8,0.472,0.697
1APplB7nYRz4UbwkLGq7Dq,US AGAINST THE WORLD,Epik High,4,90.009,0.396,0.151,9.47e-06,0.582,0.138,1,-7.7,5,0.652,0.743
4iI2SFBIuzZj0JyUNII5Rr,LOST ONE,Epik High,4,119.981,0.243,0.213,0,0.0448,0.0425,0,-7.517,0,0.545,0.637
6rQziSE3oyCV5I8xCOhtBt,MUNBAE-DONG,Epik High,4,170.26,0.443,0.168,0,0.314,0.0918,0,-7.959,6,0.528,0.594
6dMUcbtIC30gWi05LUtNJJ,막을 올리며 Encore,Epik High,4,81.917,0.165,0.731,0.000187,0.141,0.289,0,-6.163,4,0.74,0.583
1zaJP6bRuGYBnSaZ7ad22D,헤픈엔딩 Happen Ending,Epik High,4,100.006,0.588,0.102,1.92e-06,0.0397,0.0427,0,-5.78,11,0.636,0.828
63c9xNPqkXqeK7eLQcuyzg,Rich,Epik High,4,100.01,0.454,0.31,7.4e-06,0.181,0.0529,0,-5.706,11,0.798,0.79
0Q3jiHxV8nefT8de4eO0Uq,스포일러 Spoiler,Epik High,4,71.987,0.0602,0.32,0,0.0157,0.166,1,-6.553,11,0.685,0.625
0rQNYBCP3CjYgQpGfrLa50,부르즈 할리파 Burj Khalifa,Epik High,4,140.022,0.79,0.0496,0,0.0071,0.312,1,-5.149,1,0.704,0.876
7Dhm6ckiZCs4ASHmuTQWrN,또 싸워 We Fight Ourselves,Epik High,4,172.165,0.329,0.0966,0.00225,0.182,0.363,0,-7.078,5,0.52,0.716
6zmayRg1p6jqkSNqEG2Tiu,Amor Fati,Epik High,4,94.229,0.629,0.0852,0,0.074,0.0572,1,-5.249,1,0.827,0.803
5U7tpgpGPatDwrpUn5MuZg,Born Hater,Epik High,4,97.97,0.87,0.313,0,0.0271,0.315,0,-5.516,10,0.776,0.788
0pfqYnXboTgSMBObxO6w4j,Lesson 5 (Timeline),Epik High,4,94.045,0.75,0.297,0.000459,0.0989,0.188,1,-4.626,1,0.67,0.819
