id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
7IFfBSQgrtyHIxm0iMoVas,glofo i,The Quiett,4,159.995,0.132,0.102,0.0428,0.0145,0.0461,0,-8.422,11,0.756,0.659
3xcmtUfHfN7MZOJ10Px8rI,glofo ii,The Quiett,4,158.922,0.518,0.109,1.61e-05,0.0185,0.0596,1,-6.731,0,0.578,0.794
0p7YopL9hAQYfjG1rd7sTz,gui gam,The Quiett,4,150.024,0.886,0.202,0,0.0178,0.0595,1,-5.828,1,0.611,0.791
4qC8SLnh1ayl4WEJA1JctS,go yard,The Quiett,4,95.296,0.845,0.436,0,0.0536,0.106,0,-5.976,11,0.569,0.708
36VqCWzfJmRnoWwIyot0Dk,money can't,The Quiett,4,120.188,0.373,0.116,0,0.224,0.0537,0,-5.956,10,0.689,0.606
5ZvIQclpYZ3h1LNK6QEKjO,brrr,The Quiett,4,175.516,0.129,0.111,0,0.412,0.319,0,-8.855,5,0.39,0.482
2sdDCXxZ6jpLpQgTpCV0kS,asap,The Quiett,4,81.955,0.485,0.112,0,0.0905,0.364,1,-6.305,1,0.801,0.526
1gyfwwC75JMpb1IaZehq3Y,namchin,The Quiett,4,139.927,0.719,0.129,0,0.237,0.163,0,-6.948,10,0.452,0.807
3fkRefuDk5DnHdjfVZs8M5,han gang gang,The Quiett,4,80.004,0.416,0.122,0.00173,0.73,0.096,1,-6.418,4,0.375,0.872
38AuIgc2RevYuSRoDPnEFs,mully,The Quiett,4,84.023,0.397,0.126,1.45e-06,0.534,0.0795,0,-10.231,0,0.594,0.7
3CHlsdXybjBK8ofHoqjsHB,summer night,The Quiett,4,84.012,0.363,0.215,0,0.294,0.309,0,-8.704,10,0.673,0.667
69WZFx1aOjaCCX0bjyTeFS,way back home,The Quiett,4,75.871,0.347,0.138,0.000199,0.8,0.0789,0,-12.158,1,0.293,0.523
742BL2dkO3YhtLV3cNxdPP,limelight,The Quiett,4,96.025,0.375,0.0864,0.0851,0.354,0.0326,0,-7.267,10,0.491,0.679
6RFzA8mLXRgrMnpMUOvKiy,Prime Time,The Quiett,4,91.498,0.687,0.088,0,0.276,0.126,0,-4.403,0,0.897,0.855
4tUCUa6npk3jZrk34OGiPy,Still Got Luv (feat. Keem Hyo-Eun),The Quiett,4,88.903,0.942,0.122,0,0.202,0.242,0,-4.775,10,0.822,0.724
50ZhzeFOQKtT7wbXccGffc,THE 1LLEST (feat. Jessi),The Quiett,4,85.017,0.236,0.157,0,0.0762,0.217,0,-5.041,0,0.683,0.735
63ix1t4Q3bAvlqBUzXs59y,Girlfriend (feat. Keem Hyo-Eun),The Quiett,4,165.975,0.656,0.101,0,0.47,0.283,0,-5.732,9,0.877,0.655
2gMKRAVaXgf9SAV84neQpZ,Stay Alive (feat. Dok2 & Hash Swan),The Quiett,4,78.062,0.216,0.299,0,0.613,0.0416,0,-5.53,6,0.611,0.64
7BoKeFf2ADCebexN3c6eea,Money Over Bullshit,The Quiett,4,146.978,0.0744,0.125,0.44,0.137,0.0847,1,-6.227,1,0.494,0.807
1xMxloN8zmSlJTikDSWJ6H,M ON IT (feat. Dok2 & Beenzino),The Quiett,4,126.083,0.301,0.343,0,0.27,0.225,1,-2.408,11,0.811,0.792
3TGLK3ttPwfRA1bJPNTWs0,Beautiful Life II (feat. Hash Swan),The Quiett,4,90.97,0.829,0.106,0.00121,0.457,0.359,1,-2.885,2,0.76,0.828
1PvnbvwAaZgj1x9D20ppBS,Light (feat. Yerin Baek),The Quiett,3,174.318,0.104,0.087,0,0.375,0.283,1,-4.567,0,0.634,0.478
5WoD4yMkfzKB4JbhHtXX0U,My Last Song,The Quiett,4,80.131,0.172,0.0976,0,0.251,0.249,0,-4.122,5,0.885,0.417
15DipmlBldfr4HnJ9zIKwf,U Everything,The Quiett,4,83.001,0.651,0.172,0,0.694,0.0771,1,-7.839,10,0.591,0.767
0czfkUfYi3qnggLqPpKbpL,Money On The Floor (feat. Don Mills & CHANGMO),The Quiett,4,139.962,0.516,0.106,0.00137,0.0591,0.114,0,-3.88,5,0.857,0.75
7DQ157voQAa33t5mdfB6eq,Slam Dunk,The Quiett,4,93.035,0.118,0.106,0.732,0.211,0.0935,0,-6.986,9,0.571,0.596
27OCZkXkFbPx41CPQLD0uo,Beat King,The Quiett,4,90.996,0.745,0.0862,0.85,0.0394,0.0652,1,-5.259,1,0.816,0.685
2A8feO8xjbTlHFOZY0vwIw,Soul City,The Quiett,4,173.001,0.811,0.176,0.681,0.00289,0.0582,0,-7.849,1,0.824,0.39
6cMx6zETQLvTRE5r2wK4NW,Dope (feat. Okasian & Justhis),The Quiett,4,91.077,0.644,0.129,2.04e-06,0.557,0.16,0,-7.579,4,0.817,0.726
7zt3CZogTeJF1i65WjSvlS,Night Flight,The Quiett,4,100.006,0.292,0.212,0.798,0.176,0.0426,0,-5.137,9,0.695,0.79
08c9a9btTVImfZSzOt2VSf,Dragon Quest,The Quiett,4,188.098,0.723,0.12,0.905,0.536,0.144,0,-7.167,2,0.597,0.708
3kGuZyKz6A5tM7g4Ja6mH1,Lonely at the Top,The Quiett,4,169.899,0.485,0.237,0.796,0.497,0.0427,0,-6.886,6,0.902,0.699
33uAJv89tgXiHQBj7GMLRp,Beachside,The Quiett,4,91.04,0.247,0.377,0.638,0.25,0.0442,0,-7.808,6,0.793,0.546
32cdTiwicUIf75OPaoORYq,Good Saturday (feat. CHANGMO & Chamane),The Quiett,4,89.013,0.777,0.0838,8.27e-06,0.0771,0.263,1,-4.394,1,0.851,0.873
7dbKCIjoRyRctajs54DvNA,Paperchasers (feat. DJ Wegun),The Quiett,4,179.853,0.205,0.306,0.726,0.031,0.133,0,-6.877,6,0.888,0.676
3RWLn28xHq6j36RD3paZrS,Ride to Atlantis,The Quiett,4,195.947,0.552,0.133,0.976,0.131,0.0899,0,-6.451,4,0.629,0.542
3a6yUXmVotph387By5oAzl,Martial Beat Arts 2,The Quiett,4,92.03,0.877,0.81,0.935,0.00386,0.085,1,-7.483,3,0.674,0.658
1YzyWRzJ2cF7bMPsQIUHVX,Cool,The Quiett,4,88.056,0.763,0.0771,0.932,0.0446,0.0458,0,-7.347,11,0.713,0.64
7H6VOvVsDa0ohRVVqUmSmw,I Just (feat. Notorious Kid),The Quiett,4,93.002,0.793,0.0707,0,0.507,0.174,0,-6.714,11,0.602,0.836
2sD3HZOPSbMD0jFEVCFq7e,Very Special,The Quiett,1,141.968,0.44,0.184,0.0306,0.0774,0.0596,1,-7.928,1,0.687,0.59
5iwjzKF31SD0hSqTM1eRRY,Love Letter,The Quiett,4,98.61,0.821,0.104,0.0998,0.0639,0.0809,1,-5.278,7,0.894,0.753
19sq74HvHOU6USTBJuuU2M,Life of the Party,The Quiett,4,166.111,0.31,0.0926,0.538,0.00112,0.0463,1,-5.496,7,0.892,0.631
0XUF8IzgvTl0drlavb5LhN,Last Train,The Quiett,4,145.649,0.25,0.153,0.734,0.017,0.0755,0,-8.48,2,0.586,0.516
6wuRK7m0HU74EXw9fXNbBm,Champion,The Quiett,4,140.097,0.132,0.165,0.74,0.00588,0.0303,0,-5.474,11,0.692,0.503
08GD0zeZDSu1uQ1fGGRg9E,Go,The Quiett,4,95.062,0.662,0.28,0.0052,0.0278,0.0356,1,-6.095,1,0.798,0.768
7dTIqDB2vbyLW8CtRMhXR1,The Streets (feat. DJ Silent),The Quiett,4,91.976,0.897,0.353,0.875,0.406,0.232,0,-6.713,8,0.524,0.864
4KI6L83aFlwzARFqrfD8Qg,그 남자 그 여자 (feat. junggigo),The Quiett,4,169.978,0.917,0.0608,0.0167,0.000732,0.0948,1,-7.902,1,0.72,0.656
6lMfV9NLONO4gwrHNtJPYW,대면,The Quiett,4,88.049,0.632,0.164,0.729,0.0505,0.0632,0,-7.478,10,0.508,0.805
38SlNi6PTcvO68LsI3CCok,Dolphin Dance,The Quiett,4,186.001,0.961,0.1,0.834,0.268,0.102,1,-6.999,0,0.46,0.736
7pLOLSicKZhYp0OFXX1aiN,Interlude (feat. Mad Clown),The Quiett,4,90.137,0.884,0.206,8.59e-05,0.129,0.211,0,-6.278,7,0.683,0.747
0dIb69T7fZN9PjDHjAxvWX,Martial Beat Arts (feat. DJ Silent),The Quiett,4,90.054,0.664,0.293,0.735,3.9e-05,0.103,1,-7.078,0,0.696,0.285
3qgm6blx9hXtZZysC9Yrbm,"뭐 (feat. Notorious Kid, Friz & Pumkin)",The Quiett,4,95.325,0.686,0.149,0.0076,0.143,0.293,0,-5.931,10,0.777,0.832
0C4GnG56O7HPCwwfCyqLOl,Music,The Quiett,4,93.861,0.166,0.366,0.16,0.000371,0.0316,1,-5.627,7,0.709,0.554
0jwn6R68MwfFOLProG5oUt,Take The Q Train Remix (feat. P-Type),The Quiett,4,95.011,0.72,0.0845,0.176,0.184,0.11,0,-7.24,11,0.86,0.757
1T9ZYtW6bmZCpnGJ1uTElU,City Cats,The Quiett,4,92.992,0.934,0.108,0.831,0.134,0.0351,1,-5.323,6,0.505,0.649
2IfAEFpRPeQSTKnCKtFvUj,뒤척임 (feat. 이병호),The Quiett,4,186.146,0.717,0.357,0.913,0.347,0.255,1,-7.983,8,0.462,0.61
0LdsL7BfU5uglqWhD8Rglw,Sunshine Luv,The Quiett,4,122.0,0.258,0.276,0.889,0.00077,0.0342,0,-8.045,1,0.591,0.628
0iURrpLTpOhho8Ljo53Ry3,다음에 만나요,The Quiett,4,89.911,0.117,0.21,0.866,0.0714,0.0258,0,-6.4,4,0.523,0.597
2LLLwm6I3SMEBbs32llNlM,Bentley,The Quiett,4,85.509,0.508,0.0865,0.000168,0.687,0.1,0,-7.143,1,0.705,0.85
6nNlz5LUqPPTFohqeyE3mh,All About,The Quiett,4,95.022,0.428,0.0981,0,0.128,0.0688,1,-6.356,7,0.642,0.813
5bJfTKkViZUsQfw7TVQ4zs,1 Life 2 Live,The Quiett,4,111.033,0.144,0.128,7.87e-05,0.289,0.146,0,-7.269,9,0.572,0.886
39UhQ0D8mnKq1KE4oAu3AW,World Famous,The Quiett,4,89.997,0.823,0.0996,0,0.536,0.256,0,-6.37,10,0.64,0.725
1tL2s2ShAFoz53o7rzO0Gr,Your World,The Quiett,4,178.438,0.251,0.103,0.016,0.732,0.267,0,-3.7,9,0.888,0.685
0L4u0ifMRDJfpkEJdmsP7a,Hallelujah,The Quiett,4,90.588,0.757,0.28,0,0.0357,0.293,0,-5.12,9,0.95,0.54
0ZMAhggPG7M5geGixB3Id8,Who Else,The Quiett,4,101.955,0.653,0.317,0,0.736,0.255,1,-5.272,1,0.737,0.766
7aFh993NNMG3nbqlVXltc4,Body 2 Body,The Quiett,4,82.316,0.357,0.134,0.000214,0.753,0.15,0,-6.22,3,0.691,0.438
5ztBiwJlJtYcgDJMdWKthI,Montana,The Quiett,4,84.768,0.514,0.0896,2.93e-06,0.473,0.277,0,-4.799,4,0.859,0.449
6v0aYgTv0uQGZGwFKtEJ0z,My Life,The Quiett,4,126.61,0.29,0.0978,0,0.079,0.0725,0,-4.517,9,0.487,0.761
6t9cG6PeI6g83B5FWFmrek,Lifetime,The Quiett,4,74.492,0.646,0.148,5.44e-05,0.666,0.179,0,-4.987,0,0.778,0.654
1gbuSBH5rJLFm4WzKOaG6Q,Be About It,The Quiett,4,139.842,0.221,0.108,0,0.449,0.063,0,-6.248,1,0.574,0.658
6hZVFnZgL0v6EWpcfrnQOm,Illionaire Way 2,The Quiett,4,164.629,0.524,0.138,0,0.115,0.273,0,-3.951,6,0.881,0.462
4dio1VaCd5NwDPCg7tS8TE,Welcome to the Show,The Quiett,4,108.11,0.739,0.0608,0,0.487,0.127,1,-4.576,2,0.573,0.828
0B1SIHC3sEVjmjAkMqovNA,Never Q.U.I.T.T.,The Quiett,4,82.497,0.589,0.0825,5.69e-05,0.0758,0.227,1,-3.8,1,0.75,0.573
5FEt2jExUy2sGo94fYpgdr,Be My Luv,The Quiett,4,92.974,0.733,0.095,0.000797,0.321,0.0728,1,-5.631,5,0.687,0.801
06zn2az5EBXfRSmWJMQ4iZ,Stars (feat. Verbal Jint & Swings),The Quiett,4,87.546,0.701,0.437,0,0.18,0.277,1,-5.649,9,0.841,0.461
2jAIbYLLRgo0vM6ecKZgEJ,Lovely One,The Quiett,4,177.213,0.761,0.0959,0.146,0.338,0.352,0,-3.942,5,0.599,0.567
2lyqeTlvSTfsBrn5mE1Mdn,Q's Way (feat. 샛별 Satbyeol),The Quiett,4,89.986,0.669,0.113,0,0.191,0.0801,0,-4.15,3,0.804,0.653
7MbVJaTLqbnftOoMmt8JOE,Game Theory,The Quiett,4,90.972,0.587,0.182,0,0.0373,0.304,0,-6.509,10,0.571,0.805
1guzCQNxneBHT42xGzJj19,"Airplane Music (feat. Basick, Rimi, Beenzino, Fana & San E)",The Quiett,4,127.276,0.7,0.356,0,0.217,0.273,1,-5.467,1,0.814,0.799
4deIFL3RS6ucqQxfcaTsdv,시간이 왔나봐 The Time Has Came (feat. Dead' P),The Quiett,4,87.268,0.74,0.073,0.000355,0.0145,0.161,0,-7.278,5,0.751,0.573
4hmiEMi2jnEg7jNv7FWqRq,Old Records,The Quiett,4,94.07,0.843,0.159,0,0.255,0.237,1,-5.668,7,0.739,0.719
