id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
5zIHj0skRCCNJMdyqJsB6I,DP,VINXEN,4,142.068,0.175,0.0834,0.000752,0.287,0.0993,1,-4.553,1,0.731,0.665
7J9dBMh2rbw77ap567t9Rw,Stingray (feat. Sik-K),VINXEN,4,117.998,0.279,0.0922,4.27E-05,0.406,0.0827,0,-6.006,8,0.672,0.766
0ROUn97hUA82PFMM0Z9BSC,36pills,VINXEN,4,148.086,0.432,0.125,0,0.493,0.224,0,-4.224,11,0.728,0.707
6It8TmGwajmQu3972i3k5N,White Lie,VINXEN,4,115.957,0.0589,0.131,0.000527,0.0789,0.0329,0,-6.629,1,0.626,0.728
12WywZpTIJUgIiE8GxPGxM,Smoke (feat. Jung In),VINXEN,4,87.034,0.66,0.116,0.00646,0.764,0.0586,1,-6.291,4,0.64,0.778
6kbOu1oRTxRxRTBrGxIYzK,Star,VINXEN,4,81.988,0.563,0.105,0,0.611,0.117,0,-5.181,10,0.576,0.721
3QglCjbhnoT7NPUOqU5zDK,Yoo Jae Suk,VINXEN,4,73.767,0.216,0.112,0.00416,0.868,0.229,0,-8.664,4,0.62,0.619
0t3Oa8qVX8KIXjC3HZ5kVj,How Do You Feel,VINXEN,4,94.87,0.341,0.109,1.02E-05,0.868,0.245,1,-10.245,6,0.494,0.7
0PA8e9N5Vp0dsv4kfTJojm,SINKING DOWN WITH U,VINXEN,4,115.459,0.139,0.0925,0,0.8,0.0576,0,-5.399,9,0.551,0.688
0EOmq8KpWhLmbbynitH2Ao,U Don't Even Know,VINXEN,4,139.987,0.598,0.122,0,0.769,0.151,1,-5.01,11,0.761,0.775
1mUAwFdjrd07ivypx4MZhW,Burning Thirsty,VINXEN,4,115.837,0.87,0.118,0,0.667,0.366,0,-4.801,10,0.643,0.927
7BkLlGLLBlVtez4wuCrDhU,Dark Adaptation,VINXEN,4,110.557,0.829,0.0741,0,0.652,0.432,1,-4.473,6,0.771,0.674
57COKNjPJUifCXX1ZzeDWi,How Do You Feel,VINXEN,4,94.846,0.326,0.111,1.16E-05,0.873,0.255,1,-9.452,6,0.529,0.784
0OwmL5HhWngxjkBdONFwo7,Graffiti,VINXEN,4,124.72,0.656,0.0751,0,0.684,0.389,0,-4.147,10,0.865,0.533
