id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
7IiN5xNSRtdTIaoeB2UTRa,他死在熱烈掌聲中,Obviously,4,141.96,0.49200000000000005,0.115,0.0,0.0012900000000000001,0.128,0,-4.879,9,0.925,0.527
4juGQNHgxkcyryPj7ZqGZG,低賤的人,Obviously,4,140.005,0.261,0.413,0.0,0.084,0.0675,0,-5.974,11,0.866,0.457
60WXzUKrKtRGQpGekZp8FX,我只是想要被喜歡,Obviously,4,150.002,0.7979999999999999,0.235,0.0,0.139,0.0927,0,-4.8389999999999995,5,0.907,0.575
7h3Hu5F9KGAbjVJJAufpVx,新美街,Obviously,3,149.993,0.48,0.244,0.0,0.136,0.0302,0,-6.167000000000001,2,0.7390000000000001,0.46399999999999997
5PStVkBTUhf3unBPOU0vHr,逍遙,Obviously,4,142.02200000000002,0.127,0.0993,1.03e-06,0.0375,0.0335,0,-5.033,9,0.8,0.498
319D46w3oxCdon32cdpR8b,他說他想看我剪短頭髮,Obviously,4,157.863,0.745,0.111,0.0,0.0428,0.0959,1,-4.2330000000000005,5,0.861,0.5429999999999999
28tC2KN3zVSfjdaZUajlOb,明星,Obviously,4,146.058,0.486,0.11699999999999999,0.0,0.0449,0.068,1,-4.22,0,0.85,0.514
14XdIQDJZo8dTshrJN1CfM,我最討厭搖滾樂,Obviously,4,149.8,0.45299999999999996,0.0742,0.0,0.0127,0.0623,1,-4.521,0,0.873,0.509
23NcKfLKk0B38w9opC840P,歿年,Obviously,4,135.072,0.31,0.145,0.000728,0.366,0.0334,0,-10.032,9,0.6679999999999999,0.512
19Rw5jDDYw4XAHiM4TMqV6,你都怎麼想起我,Obviously,4,140.045,0.353,0.139,0.177,0.32,0.0479,0,-12.187999999999999,11,0.575,0.532
6aTt6tB7Lmb3NICepY9zrs,世界是如此的殘酷又如此的美好,Obviously,4,169.88400000000001,0.113,0.11,8.7e-06,0.431,0.0315,1,-10.302999999999999,0,0.47200000000000003,0.321
6qn8VYviFkcaKtq7Coplo6,我愛你但那與你無關,Obviously,3,164.85299999999998,0.168,0.141,0.00011399999999999999,0.0478,0.0285,0,-10.269,7,0.501,0.38
4pyBc4kfZHbZVFpuSfo6aU,好美 (Bonus Track),Obviously,4,88.6,0.0909,0.105,0.6940000000000001,0.927,0.0346,1,-18.005,0,0.171,0.16899999999999998
522r1RyHrM2GVOn1LdRABr,波克比的愛,EggPlantEgg,4,135.97,0.425,0.113,0.017,0.0229,0.0441,0,-6.794,9,0.757,0.637
33RxsbnZnlylEkMuQqB8DM,Ms. Doremi,EggPlantEgg,4,115.03399999999999,0.289,0.124,0.0007059999999999999,0.161,0.0425,0,-9.208,7,0.701,0.6920000000000001
