id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
1gL5C6HHnNAO3s1ybf7uPN,Euro,Ryan Beatty,4,129.69,0.497,0.672,4.44e-06,0.383,0.0803,1,-8.572,0,0.528,0.509
2ptqHEyLTAyXdunvuiNL5h,two faced,slchld,4,127.936,0.849,0.151,0,0.792,0.118,0,-7.609,0,0.443,0.753
0ZK8TGOsngrstVPsnrHbK1,Peach Pit,Peach Pit,4,123.969,0.298,0.149,0.00229,0.00322,0.0398,0,-5.345,6,0.804,0.515
6c3IzgWIRFPKPcoMj4l4bh,Lovestruck,Colde,3,92.645,0.188,0.367,1.02e-05,0.839,0.149,1,-9.625,8,0.428,0.468
73ipE4lfZ53pvBbJPXkiEK,seoul (prod. HONNE),RM,4,99.8,0.453,0.324,2.47e-05,0.344,0.0645,1,-8.63,0,0.664,0.587
0jBRoXvC7N4SnoATlfIfOX,Heya,The Black Skirts,3,55.129,0.059,0.334,0.827,0.659,0.032,1,-9.092,5,0.379,0.155
2HMsYjF1blbw532rw9dTs7,墜機,Yeemao,4,170.102,0.69,0.442,0,0.378,0.281,0,-8.424,11,0.685,0.72
1xvSbNUKm3Ig7LkguLSFO4,Sangsu station,The Black Skirts,4,84.023,0.207,0.193,0.00998,0.052,0.0464,1,-9.87,8,0.506,0.668
5xurwHAzaNCyt4PzTl9v54,妳是我的Wifi (feat. 國蛋),Yeemao,4,175.634,0.844,0.142,0,0.408,0.348,0,-7.246,5,0.625,0.737
5D5kzmVejlQFTqXwUmb0Ns,COOL,Troye Sivan,4,108.028,0.608,0.384,4.58e-06,0.134,0.0843,1,-6.037,10,0.832,0.727
65OqaI55BYMPnX6d2b5HB3,給愛麗絲 Für Elise,熊仔 | BOWZ 豹子膽,4,110.812,0.213,0.41,0,0.0815,0.345,1,-5.317,9,0.753,0.797
4qjLvvBh5ZeKEPyShKRf06,Narcissist (feat. The 1975),No Rome,4,179.972,0.424,0.085,1.53e-06,0.219,0.112,1,-5.81,3,0.682,0.543
4m0q0xQ2BNl9SCAGKyfiGZ,Somebody Else,The 1975,4,101.015,0.459,0.126,0.0154,0.204,0.0601,1,-5.711,0,0.793,0.618
3y7ByLZ05tluscOTRgEJ9Y,Palette (Feat. G-DRAGON),IU,4,102.013,0.62,0.102,0,0.458,0.2,1,-3.81,0,0.68,0.804
4wuFZIYNRVIduE3zFIN4CF,Petal Fortune,PERC%NT,4,81.964,0.631,0.11,2.04e-05,0.226,0.0548,1,-5.6,8,0.71,0.645
6Jx06CqjXLM7VYljqkCRcL,Dreamcatcher 드림캐처,We Are The Night,4,105.077,0.278,0.216,0.0228,0.0871,0.034,1,-4.677,5,0.817,0.598
3mmLyEhphJAaW7hyEXAD8l,Some,Bolbbalgan4,4,103.99,0.782,0.0562,0,0.417,0.0629,0,-2.849,1,0.799,0.659
2sHwSBNDZN2yjCtgwStYt1,Crush Culture,Conan Gray,4,180.065,0.455,0.0866,0,0.146,0.193,1,-5.395,0,0.765,0.522
2HLtRAcBAWd4y7TfVVoIpm,Let It Pass,Jakob Ogawa,4,88.222,0.301,0.152,1.94e-05,0.0803,0.0307,1,-7.275,4,0.614,0.586
4jvqougLFp6Gav9rfIljf1,Motorcycle,SOMA,4,119.833,0.384,0.114,2.11e-05,0.88,0.177,0,-8.757,4,0.374,0.618
0heVTeZw99vJl4QyJC0wyk,Bloom,Troye Sivan,4,120.932,0.504,0.392,0,0.031,0.0328,1,-5.196,0,0.701,0.708
5dtUhiU3OYmSmDj355bLew,Speed,Ryan Beatty,4,138.819,0.494,0.146,0.000154,0.218,0.153,1,-9.229,4,0.368,0.63
29rPWPyFVpEk51XWQSgrm3,Our Younger Days 깊은 우리 젊은 날,We Are The Night,4,117.999,0.145,0.175,1.85e-05,0.544,0.0356,0,-6.891,9,0.457,0.692
4Y6ksqjKw0vh24po0ivYDM,Nightshift,Tandems '91,4,81.744,0.396,0.0995,0,0.568,0.0395,1,-7.217,0,0.46,0.469
2MODoWGuNV60V7X9JRmcFh,Taller than You,Mamamoo,4,200.308,0.757,0.143,0,0.0944,0.416,0,-3.99,11,0.684,0.733
5EQjiY74P2KPjWbuTjTnkx,Snowflake,Ovan,4,109.91,0.522,0.102,0.000222,0.888,0.036,1,-9.28,10,0.322,0.806
77CocaDeWJAlUuiFDvdVp5,Wind flower - Japanese ver.,Mamamoo,4,113.938,0.823,0.0658,0,0.536,0.0624,1,-3.907,7,0.741,0.741
40jgQMxu1yaQkIRblyswIM,Hollow (feat. Charlie Lim),Katz,4,149.992,0.298,0.121,0.0182,0.226,0.0321,1,-9.321,6,0.489,0.562
2XdyebP7KxClMOse2C5iyA,Your Dog Loves You (feat. Crush),Colde,4,101.929,0.142,0.149,3.33e-05,0.928,0.0306,1,-11.909,9,0.234,0.667
3yL1v1JtX8k8zLOUoqGvq9,Yes I am,Mamamoo,4,120.092,0.65,0.0518,0,0.142,0.25,1,-2.779,0,0.893,0.74
7tNhwv2FmI6a1mgIReSXR6,Generation Why,Conan Gray,4,81.985,0.594,0.147,1.54e-05,0.316,0.0723,1,-8.215,9,0.682,0.565
2cOIDloNUHI8udXlT6dIMl,행복한 척 Pretend,Suzy,4,85.788,0.491,0.22,0,0.728,0.0899,1,-7.582,11,0.483,0.553
7IDCatYQKznUSO85CtQ7zY,Sleep 잠,Night Off,4,121.918,0.369,0.108,0.629,0.246,0.0316,1,-7.278,10,0.442,0.493
