id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
0GqRBtdyqpJhah7GCuJrlW,Burning youth,HYUKOH,4,110.209,0.16,0.107,0.511,3.09e-05,0.0549,1,-4.541,9,0.762,0.334
4myeBw35GUMw5FyDGZcOON,Tokyo Inn,HYUKOH,4,123.986,0.8,0.0825,0.672,0.0083,0.0344,0,-7.437,9,0.735,0.6659999999999999
74oeZSnZKrQoIKoDaqCgB6,Leather Jacket 가죽자켓,HYUKOH,4,89.978,0.743,0.161,4.79e-06,0.00797,0.0813,1,-4.914,9,0.878,0.521
6DywghQdi3HQwC8eZkEkfa,TOMBOY,HYUKOH,4,148.317,0.221,0.114,1.15e-05,0.0961,0.0299,1,-5.314,3,0.431,0.3
7ri1JoOCxJsc0kspcmOco7,2002WorldCup,HYUKOH,4,103.985,0.721,0.305,0.006999999999999999,0.000523,0.0582,0,-5.759,11,0.8340000000000001,0.54
7hOiHecvs9OqTTKAk7Gfxm,Jesus lived in a motel room,HYUKOH,4,114.832,0.29100000000000004,0.198,5.29e-06,0.123,0.0802,1,-6.37,7,0.517,0.6970000000000001
2GJQwrXckqbQPOEUEG3C65,Wanli 万里,HYUKOH,4,105.979,0.514,0.136,0.017,0.000296,0.056,0,-4.407,7,0.8109999999999999,0.389
15Dw8eJDlLrJ7BIJ4r6nQx,Die alone,HYUKOH,4,134.812,0.435,0.0988,0.0,0.105,0.0502,1,-6.6179999999999986,10,0.542,0.59
5CABIErlC4yEcLnk3GbXg3,Reserved seat 지정석,HYUKOH,4,130.276,0.141,0.0799,0.8140000000000001,0.00628,0.0306,1,-7.932,7,0.383,0.482
3A5W4QMWcZmnbf8NbzAQfv,Simon,HYUKOH,4,78.4,0.134,0.0604,0.00103,0.242,0.126,0,-7.447999999999999,11,0.6559999999999999,0.239
08EJhmct9W5134HDRpTtFp,Paul,HYUKOH,4,133.25799999999998,0.361,0.173,0.00514,0.948,0.0309,1,-10.39,7,0.185,0.409
69k9lfQ3fwFek1wLZ6Aeor,Surf boy,HYUKOH,4,106.065,0.629,0.615,0.000312,0.036000000000000004,0.0278,1,-4.9430000000000005,4,0.735,0.614
3ibGXBD8xHFMb3s3WfqoPt,Gang Gang Schiele - Superorganism Remix,Superorganism,4,82.073,0.387,0.254,0.000657,0.0004150000000000001,0.0603,1,-6.157,7,0.601,0.517
4SIJQofsVLBBbBLn1qRwKj,Graduation,HYUKOH,4,136.454,0.382,0.569,0.000124,0.0030800000000000003,0.101,0,-5.922999999999999,4,0.853,0.328
2XSM4aSgAHUj6dX2gbCY44,SkyWorld,HYUKOH,3,100.446,0.221,0.3670000000000001,3.43e-06,0.743,0.0422,1,-9.24,5,0.272,0.4320000000000001
7rDdN55Ma9gZlbexHiDSud,LOVE YA!,HYUKOH,4,143.77,0.33,0.146,1.56e-05,0.0919,0.0448,1,-6.527,11,0.5660000000000001,0.375
6XZLlfwcvmM2LSobNGfvzM,Citizen Kane,HYUKOH,4,98.153,0.298,0.0977,0.00193,0.000612,0.145,1,-6.013,2,0.882,0.303
4HBv1xeVdrcG0Jbxj8Hyy8,Gang Gang Schiele,HYUKOH,4,82.009,0.629,0.301,1.64e-05,0.502,0.0317,1,-7.029,7,0.628,0.599
