id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
3zUKRKRzJSJMmIPxwpTsFI,Intro,Bisiugroup,4,147.939,0.835,0.186,0.756,0.00949,0.101,1,-11.077,11,0.601,0.604
17SLDiuINZll0JcJnIEJtB,電火王,Bisiugroup,4,167.928,0.834,0.0549,0,0.0786,0.161,0,-7.985,4,0.819,0.584
3s02H1w1oNLtCmqsaLsuLb,總裁水鴛鴦,Bisiugroup,4,154.188,0.46,0.0305,0.000133,0.00453,0.0872,0,-6.486,9,0.862,0.403
3Qdmzp9DLel1UUilNnrusi,這幾年,Bisiugroup,4,167.992,0.406,0.247,0,0.0396,0.0729,1,-7.708,7,0.803,0.396
28pnNDqrdYuOm2S0FpPGDi,昨暝阿爸無轉來,Bisiugroup,4,171.864,0.454,0.0621,0,0.342,0.0499,0,-8.873,9,0.444,0.481
2Wg5zLf3eJ8JxgXzUz9HWO,做事人,Bisiugroup,4,127.951,0.388,0.116,0,0.0155,0.0637,0,-8.232,4,0.701,0.577
5u9myQ7NH4SfCL03T4bGSC,生活袂曉過,Bisiugroup,4,98.034,0.129,0.0607,1.32E-06,0.344,0.0369,1,-10.261,2,0.424,0.69
5DkCIGK1Sh7YJ99GObOilA,米兒,Bisiugroup,4,105.003,0.345,0.373,7.11E-05,0.179,0.042,1,-7.525,4,0.744,0.51
5yluBaIBdPiLT0y1hW3PvQ,小老婆,Bisiugroup,4,119.955,0.406,0.111,2.56E-06,0.0253,0.0419,1,-8.146,0,0.706,0.618
6439IQyiZV5I7aOo8UREgm,擋一根,Bisiugroup,4,76.027,0.453,0.0985,0,0.0444,0.0485,0,-8.306,6,0.747,0.483
1VXw3siSNqKFvHhaUXL5vH,魯之歌 - Bonus Track,Bisiugroup,4,163.909,0.264,0.0976,0,0.456,0.0617,1,-9.399,7,0.474,0.518
0cc8kgDRRXGalagA4oY6Ow,懶趴火,Bisiugroup,4,147.978,0.808,0.0705,1.99E-06,0.0128,0.134,1,-3.983,0,0.955,0.556
76xcePIZ8w8yF32mBvvHo2,Only Scott Knows,Bisiugroup,4,141.988,0.427,0.22,0.00089,0.0113,0.0406,1,-4.224,4,0.886,0.595
7ks6KrwN2DKhEm06X85qEK,捲菸,Bisiugroup,4,159.929,0.325,0.346,0,0.0167,0.0388,1,-4.325,7,0.757,0.486
501bYH5p9YESOuTpSlJ4Kz,一隻雞,Bisiugroup,3,203.109,0.354,0.292,2.59E-05,0.0625,0.0487,0,-4.476,9,0.599,0.233
3EYNXV8VXELDijFKUlt0KJ,細粒的目睭,Bisiugroup,4,147.699,0.22,0.096,0,0.13,0.0484,1,-6.987,0,0.517,0.52
