id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
522r1RyHrM2GVOn1LdRABr,波克比的愛,EggPlantEgg,4,135.97,0.425,0.113,0.017,0.0229,0.0441,0,-6.794,9,0.757,0.637
33RxsbnZnlylEkMuQqB8DM,Ms. Doremi,EggPlantEgg,4,115.034,0.289,0.124,0.000706,0.161,0.0425,0,-9.208,7,0.701,0.692
4CTLi6eZj6ccyMBdfOW6u5,親愛的無情孫小美,EggPlantEgg,4,133.816,0.215,0.12,0.00316,0.375,0.0342,1,-7.817,7,0.538,0.549
4MtMvPLRRQMXwtHZYkmS0s,我若是有來生我想欲變成你,EggPlantEgg,4,129.995,0.392,0.107,0.000433,0.0623,0.0505,0,-8.862,4,0.633,0.684
5os0kLggrm4cynK8RsOMVf,日常,EggPlantEgg,4,129.927,0.0882,0.109,0.00887,0.95,0.0378,1,-16.476,9,0.194,0.644
7J6wLr8qRqLPMeOZlR54NM,浪子回頭,EggPlantEgg,4,129.523,0.203,0.11,8.32E-06,0.251,0.0477,1,-9.979,0,0.488,0.473
13v8wAQrRVfXU9gSLEYFXA,人類攏同款,EggPlantEgg,4,101.999,0.514,0.0879,0.0548,0.118,0.0319,1,-9.782,1,0.584,0.706
7HqpNnuR27Agf67YePz5Yx,你不懂我的這款愛情,EggPlantEgg,3,120.048,0.0707,0.12,0.00173,0.773,0.0303,0,-9.893,4,0.394,0.595
2aS9LZjJOSas8BIjvQwUyB,Outro,EggPlantEgg,4,123.928,0.422,0.107,0,0.906,0.0347,0,-12.946,11,0.457,0.644
2VprwXPyuLVH8432sCNokA,把你的女朋友送給我好不好,EggPlantEgg,4,129.977,0.279,0.0575,0.000474,0.0208,0.0656,0,-7.742,0,0.863,0.669
2GJ9TC1R5yzZ2gYPKGPGyp,浪流連,EggPlantEgg,4,123.482,0.243,0.0831,0,0.373,0.0367,1,-6.366,0,0.522,0.523
