id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
1bNFpCgsJYRZMNwHOwB0rX,Intro,No_Party_For_Cao_Dong,4,124.986,0.124,0.595,0.754,0.119,0.0521,1,-13.331,2,0.209,0.675
4ecuKqF3MB966IrrYBTepC,醜,No_Party_For_Cao_Dong,4,125.025,0.516,0.1,0.916,0.0189,0.0542,0,-11.501,11,0.65,0.757
7DbVKoQHjJfqw0j8Aia0Bj,爛泥,No_Party_For_Cao_Dong,4,114.952,0.425,0.124,0.000327,0.0401,0.0951,0,-8.619,11,0.734,0.708
0JBIUwM4HeafgcjPVJaYLS,勇敢的人,No_Party_For_Cao_Dong,4,114.021,0.214,0.0982,0.0235,0.0546,0.0365,0,-8.503,11,0.557,0.719
48oUsw9LrmRT7paajfxU77,大風吹,No_Party_For_Cao_Dong,4,175.944,0.489,0.0516,0.00234,0.0694,0.0385,1,-9.544,2,0.543,0.523
5nTjkZ2qQQy8EqQsSwq7m3,艾瑪,No_Party_For_Cao_Dong,4,82.453,0.253,0.114,0.168,0.000669,0.0617,0,-9.641,9,0.757,0.52
5IZSDEfHA659iPVhwd9k1r,等,No_Party_For_Cao_Dong,4,171.022,0.3,0.338,0.166,0.000146,0.0795,1,-8.753,10,0.929,0.455
7FckV3hFjBpBmMOh30jIzF,鬼,No_Party_For_Cao_Dong,4,77.62,0.355,0.0907,0.0183,0.0881,0.0682,0,-9.614,11,0.659,0.452
69enveIq3omEiYFovEBhXv,在,No_Party_For_Cao_Dong,4,79.842,0.227,0.213,0.0697,0.0166,0.0343,1,-12.384,5,0.403,0.534
34dK493M256BU2UFA9XJ06,山海,No_Party_For_Cao_Dong,4,160.039,0.286,0.106,0.0524,0.0543,0.0647,0,-10.49,11,0.676,0.564
4PTL5okqjKnLFfyAGLJLEw,我們,No_Party_For_Cao_Dong,4,163.094,0.31,0.292,0.411,0.069,0.025,0,-9.944,11,0.503,0.509
11p3Oa6Rl0GOvkPBmOIC4b,情歌,No_Party_For_Cao_Dong,4,133.564,0.208,0.112,0.00212,0.0226,0.0512,1,-9.992,2,0.337,0.433
