id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
7IiN5xNSRtdTIaoeB2UTRa,他死在熱烈掌聲中,Obviously,4,141.96,0.492,0.115,0,0.00129,0.128,0,-4.879,9,0.925,0.527
4juGQNHgxkcyryPj7ZqGZG,低賤的人,Obviously,4,140.005,0.261,0.413,0,0.084,0.0675,0,-5.974,11,0.866,0.457
60WXzUKrKtRGQpGekZp8FX,我只是想要被喜歡,Obviously,4,150.002,0.798,0.235,0,0.139,0.0927,0,-4.839,5,0.907,0.575
7h3Hu5F9KGAbjVJJAufpVx,新美街,Obviously,3,149.993,0.48,0.244,0,0.136,0.0302,0,-6.167,2,0.739,0.464
5PStVkBTUhf3unBPOU0vHr,逍遙,Obviously,4,142.022,0.127,0.0993,1.03E-06,0.0375,0.0335,0,-5.033,9,0.8,0.498
319D46w3oxCdon32cdpR8b,他說他想看我剪短頭髮,Obviously,4,157.863,0.745,0.111,0,0.0428,0.0959,1,-4.233,5,0.861,0.543
28tC2KN3zVSfjdaZUajlOb,明星,Obviously,4,146.058,0.486,0.117,0,0.0449,0.068,1,-4.22,0,0.85,0.514
14XdIQDJZo8dTshrJN1CfM,我最討厭搖滾樂,Obviously,4,149.8,0.453,0.0742,0,0.0127,0.0623,1,-4.521,0,0.873,0.509
23NcKfLKk0B38w9opC840P,歿年,Obviously,4,135.072,0.31,0.145,0.000728,0.366,0.0334,0,-10.032,9,0.668,0.512
19Rw5jDDYw4XAHiM4TMqV6,你都怎麼想起我,Obviously,4,140.045,0.353,0.139,0.177,0.32,0.0479,0,-12.188,11,0.575,0.532
6aTt6tB7Lmb3NICepY9zrs,世界是如此的殘酷又如此的美好,Obviously,4,169.884,0.113,0.11,8.7E-06,0.431,0.0315,1,-10.303,0,0.472,0.321
6qn8VYviFkcaKtq7Coplo6,我愛你但那與你無關,Obviously,3,164.853,0.168,0.141,0.000114,0.0478,0.0285,0,-10.269,7,0.501,0.38
4pyBc4kfZHbZVFpuSfo6aU,好美 (Bonus Track),Obviously,4,88.6,0.0909,0.105,0.694,0.927,0.0346,1,-18.005,0,0.171,0.169
