id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
2WbKdRUSnEu6TaSzIIcLJ2,一起飛吧,P!SCO,4,132.0,0.419,0.0876,0.00682,0.0835,0.0462,1,-5.181,0,0.926,0.519
3Iaus9ukPrTuzb4i4DVsd5,唱給你聽,P!SCO,4,139.974,0.555,0.0849,4.44e-06,0.00464,0.0441,0,-2.827,9,0.897,0.473
6zhwjaseNEJ5m5DvdoxNCP,PENGUIN DISCO,P!SCO,4,129.986,0.417,0.116,6.82e-05,0.01,0.0404,0,-3.894,7,0.853,0.533
2UY59UtlKgVLMDqQjYPznx,BEING P!SCO,P!SCO,4,139.998,0.587,0.0657,0,0.0208,0.0396,0,-3.333,6,0.699,0.563
1rHTpSknaGQT7CeSxYWmAH,漸漸,P!SCO,4,180.032,0.248,0.11,0.00231,0.0122,0.0836,0,-3.717,1,0.908,0.316
6in0t2vFjUe3hZH7GKapFa,如果爆炸了,P!SCO,4,139.883,0.231,0.0829,0.00106,0.00441,0.0394,1,-3.276,5,0.911,0.436
1PWcWYUdjkSncUPKyYHDoZ,每個人都歡快的嚼著,P!SCO,4,149.979,0.33,0.113,0.000626,0.0121,0.046,1,-2.964,7,0.913,0.406
0XWspZ9j9P4NpSYFRGRGf7,說傻話,P!SCO,4,134.989,0.717,0.154,0.00062,0.0228,0.0553,0,-3.643,6,0.928,0.536
1st8TwJ52QyXyIs87guM0p,嘿!晚安!,P!SCO,4,179.97,0.329,0.268,0.00367,0.00591,0.0354,1,-4.1,2,0.818,0.371
3mAzZbZy7IM9n5ZWR0CkXx,中二夜晚,P!SCO,4,125.992,0.471,0.089,1.54e-05,0.0296,0.0344,1,-4.028,2,0.836,0.408
68NdQVyMI2Of7dZCg6n5iy,Intro,P!SCO,4,69.602,0.0661,0.0723,0.000539,0.926,0.0551,0,-15.497,2,0.447,0.13
4DidFY2qkqjsfnneVocPRD,I Wsh You Love,P!SCO,4,140.004,0.701,0.0725,0.000256,0.0025,0.0367,0,-7.996,0,0.719,0.605
3ivcyAWoL7PdsMc8fnD5G4,百花香,P!SCO,4,139.915,0.456,0.3,0.0805,0.00021,0.0539,0,-8.032,11,0.815,0.491
3IY56GO7fPwrxpQHWQD2FE,Dancing All Night,P!SCO,4,139.94,0.324,0.249,0.0997,0.0024,0.0508,1,-8.011,7,0.915,0.513
1cOXDxTWtAKLxNjNNarXxQ,黑色俄羅斯,P!SCO,4,170.022,0.756,0.363,3.48e-06,0.00513,0.0464,0,-6.543,11,0.781,0.434
5YrGCBuNw1TIG5mHwvdC2K,花樣年華,P!SCO,4,125.989,0.102,0.121,0.0605,0.0266,0.0357,1,-9.325,1,0.589,0.312
44QndpGY9r7xhe8p4YapVg,好時光,P!SCO,4,179.966,0.558,0.0925,0.000793,0.00133,0.0382,0,-6.698,4,0.711,0.363
57s7mfazZkyQlpxM4PYo0a,I Love You,P!SCO,4,125.983,0.592,0.155,0.00115,0.0289,0.0399,1,-7.838,0,0.678,0.591
2RZX5K0oXVGWdIJQ6mrAAU,跳吧!BABE,P!SCO,4,179.917,0.478,0.25,0.0218,0.00271,0.0372,0,-7.314,11,0.8,0.398
4I9NOXYPKk4Js8HR1MV7wP,我的,P!SCO,4,135.015,0.409,0.0897,0.117,0.000647,0.0393,1,-10.784,0,0.438,0.604
3gRwpRQYBqQ39SPpxjepdp,每當唱這首歌的時候,P!SCO,4,94.022,0.583,0.312,0.0466,0.00781,0.0625,1,-4.067,9,0.891,0.561
