id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
51OF9oxiSZwJeO5QzWHgY4,Intro,Waynes_so_Sad,4,129.939,0.103,0.0978,0.766,0.000613,0.0541,1,-5.099,2,0.929,0.463
6SnrqVpQgnXB51lc7QZMNO,搖滾糾察小隊長,Waynes_so_Sad,4,130.014,0.863,0.137,0.00144,0.00802,0.0382,0,-3.062,11,0.866,0.555
715qsdd2bKj9bqHOpYfDMp,一個隱藏號碼的來電,Waynes_so_Sad,4,124.961,0.663,0.0759,0.000775,0.00126,0.0465,1,-2.241,0,0.95,0.534
4bXNyUAbhbb8mN4zkINEB6,破了洞的美夢 - Taipei Ocean,Waynes_so_Sad,4,129.992,0.438,0.159,0.000329,0.0118,0.0516,1,-2.98,4,0.876,0.522
1W08rrgEBayCHdXA1mDacd,持續三年的暈眩,Waynes_so_Sad,4,128.009,0.72,0.283,0.0149,0.00336,0.0351,1,-2.777,2,0.871,0.535
04ejE0RAXMgvOSeraJK6pX,I quit,Waynes_so_Sad,4,155.145,0.806,0.359,0.369,7.69E-05,0.0663,1,-2.489,0,0.975,0.396
3JiyMghicpB51nsTJN3Mtx,I’m a Taiwan non-style rock,Waynes_so_Sad,4,132.966,0.257,0.156,5.86E-05,0.195,0.0417,1,-2.167,9,0.906,0.511
1tc538gETJ9ovbSe6oNznl,失戀後的那個禮拜,Waynes_so_Sad,4,137.072,0.462,0.169,0,0.0358,0.0361,1,-1.677,0,0.766,0.491
18h90d5VOZ7CJmhoRkEQI2,一整個世代的宿醉,Waynes_so_Sad,4,154.966,0.687,0.0984,0.673,0.000176,0.0518,0,-6.562,6,0.881,0.395
2vZjw4l76bibnnre9ildXe,"生不沉默,長成閉嘴",Waynes_so_Sad,4,169.886,0.571,0.087,0.00171,4E-05,0.0432,0,-6.462,0,0.784,0.341
5usK6j9N11sMQ7f4o72C6K,也許我見不到你了,Waynes_so_Sad,4,146.435,0.25,0.182,0,0.0115,0.0385,1,-6.506,2,0.555,0.432
4SkNifVtvKZLdeuVq0h7hH,幽靈先生,Waynes_so_Sad,4,130.013,0.517,0.622,0.0195,0.00012,0.0387,1,-6.141,2,0.888,0.492
0VwSFRaOqNtOeZ5AkAcpt6,江郎才盡,Waynes_so_Sad,4,175.398,0.243,0.0934,0.591,6.36E-06,0.0594,1,-4.226,9,0.9,0.276
4dmLY8CDL7Js2ijS3VYubG,我愛您,Waynes_so_Sad,4,180.129,0.346,0.173,0,0.000226,0.108,1,-4.202,9,0.93,0.278
4ngCCWIWWKJL8kFmYWWF9o,喔 我沒有靈魂,Waynes_so_Sad,4,180.699,0.279,0.134,1.27E-06,0.00037,0.08,0,-5.482,9,0.858,0.279
2qI8dZCUP7b2XndIkfVR7n,情歌小品,Waynes_so_Sad,4,184.799,0.224,0.374,2.35E-06,0.00128,0.113,1,-3.818,7,0.974,0.317
2zJDt7Tu5Hr7aXybaTungA,親親寶貝 晚安,Waynes_so_Sad,4,75.011,0.662,0.0973,0,0.756,0.0415,0,-10.908,4,0.367,0.701
4CBTlHHdk9K8Xmcsr6bEMP,Last Train Home,Waynes_so_Sad,4,134.915,0.752,0.206,4.45E-05,0.37,0.0437,1,-11.472,7,0.582,0.645
6S02faT2MYzgcjHHrk1mOC,Andy's So Sad,Waynes_so_Sad,4,125.014,0.293,0.111,0,0.816,0.0325,1,-14.756,7,0.304,0.671
7KrjbHQd3IsOvI1jkKjOHc,第三個酒鬼,Waynes_so_Sad,4,160.41,0.381,0.107,0,0.00142,0.0937,1,-5.094,9,0.937,0.233
6pJSNMaNl1VwDk5Umk43Mj,WSS,Waynes_so_Sad,4,200.244,0.846,0.3,0,0.0138,0.0676,0,-4.874,11,0.907,0.281
54n02kHThu1LkxLJYc25Br,Skinhead,Waynes_so_Sad,4,89.915,0.443,0.2,0,0.00332,0.0537,1,-5.014,2,0.92,0.357
5iMrlpA4oKywc8TZhl4z1G,司機! 請你載我回家,Waynes_so_Sad,4,161.67,0.709,0.349,0,0.000626,0.0903,1,-6.02,2,0.941,0.258
2GoVrIBBTa0FT63MJDlFO4,還給我,Waynes_so_Sad,4,152.234,0.368,0.133,0,0.028,0.101,1,-5.486,7,0.977,0.313
2Nz7WBzl819dOJSBEZrxri,他有三百塊,Waynes_so_Sad,3,172.854,0.347,0.104,0.000541,1.13E-05,0.111,1,-5.812,9,0.6,0.208
3wsxEboIGMGpWaoRC6WNIG,忘記吧,Waynes_so_Sad,3,167.068,0.614,0.0757,0,0.0025,0.0327,1,-5.968,2,0.838,0.305
4ShwqW96SHlIHYHLlBSF0b,城市情歌,Waynes_so_Sad,4,140.126,0.624,0.0997,0,0.02,0.0452,1,-5.121,0,0.859,0.404
6UdeL81P3wlTFMzTfJSmLO,我的民歌時代,Waynes_so_Sad,4,89.931,0.447,0.145,0,0.00178,0.0566,1,-4.782,7,0.857,0.41
3rcqG1C5xuyp0sG1oAr95w,我愛您,Waynes_so_Sad,4,77.618,0.594,0.143,0,0.47,0.0397,1,-14.25,4,0.413,0.641
