id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
7riQaHDII2Hadj7hryxPqC,Intro (夢想成真),Poetek,4,87.238,0.246,0.0931,0,0.686,0.0437,0,-10.651,2,0.319,0.421
2KIeNNImE4x2h5ufV28X3P,給愛麗絲,Poetek,4,110.791,0.211,0.46,0,0.189,0.361,1,-5.752,9,0.717,0.785
0mwHJWDG6TnFtAPtWmlXed,禁愛令,Poetek,4,103.984,0.256,0.103,0,0.287,0.151,1,-7.059,1,0.591,0.472
1jzDsks51uIsLmgDG1gfjU,走紅毯,Poetek,3,161.96,0.555,0.556,0.00107,0.435,0.472,0,-4.487,1,0.753,0.677
3eFYqLb1L8KF33wZGpxS06,假朋友真兄弟,Poetek,4,144.032,0.622,0.285,0,0.184,0.382,1,-4.287,8,0.822,0.757
2HvMqF1pmwwsgELuMf8snP,大頭大頭,Poetek,4,132.039,0.349,0.0809,1.46e-06,0.302,0.355,1,-7.192,8,0.636,0.718
3l5s4Z6t9rDIEpyRrtDuoW,夢中夢,Poetek,4,84.989,0.0755,0.167,4.15e-06,0.644,0.406,1,-7.779,0,0.711,0.411
5pWruytZdIWdg7MSUHnHjY,卡提諾,Poetek,4,127.978,0.471,0.415,3e-06,0.546,0.275,1,-4.85,1,0.885,0.82
30D5pkGrf1hwXhAo9o20R0,失真,Poetek,4,83.471,0.282,0.109,1.82e-05,0.619,0.032,1,-7.589,2,0.428,0.362
3uT0guJ8NbGtTRjSMQyMCh,...夢中夢中夢中夢中…,Poetek,4,92.966,0.21,0.172,3.41e-06,0.206,0.189,1,-6.463,7,0.702,0.327
1AViWT9gBooxGMzPewvIpN,夢,Poetek,4,86.937,0.318,0.437,0,0.58,0.452,0,-8.143,9,0.692,0.708
14qEO2eLI0DlsPmf9kMgtk,想,Poetek,4,87.292,0.46,0.166,7.69e-06,0.653,0.469,0,-7.174,7,0.807,0.601
0WlAMmSPzecO4brqN0joTF,成,Poetek,4,145.446,0.143,0.181,0.00108,0.421,0.0449,0,-8.905,2,0.528,0.28
1uHNl8s1BrswWcD4M5ayxv,真,Poetek,4,149.59,0.234,0.494,1.24e-06,0.516,0.0561,1,-4.975,5,0.702,0.453
