id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
6cUz4BunENKlWBIrue0ZE0,五千塊,LeoWong,4,93.151,0.71,0.106,0.000319,0.578,0.311,0,-5.554,11,0.872,0.715
2z4jfGrmpNfv3UZSYoCetN,漏水的房間,LeoWong,4,97.016,0.683,0.111,7.74E-06,0.498,0.269,0,-7.525,5,0.622,0.831
5E30EEuxlNfbWr0pYXxwg5,呻吟 (Skit),LeoWong,1,173.045,0,0.279,0.248,0.879,0.13,1,-19.527,11,0.139,0.309
78ZhoeLttWbXAk4GMokp8W,無病呻吟,LeoWong,4,92.026,0.752,0.109,0.00219,0.361,0.273,0,-8.894,4,0.599,0.75
2SAb3eTjVz0f5jzkyTuQTh,飯太冷先生,LeoWong,4,99.647,0.674,0.158,0,0.499,0.311,1,-6.652,6,0.809,0.68
7oxEqJDLSBn7vdsTC4ZeFc,幹嘛要這樣講 (Skit),LeoWong,5,67.664,0.667,0.846,0.00258,0.857,0.546,1,-18.016,8,0.454,0.427
4R7f1DmrpmWehImXopSISa,神經兮兮,LeoWong,4,92.431,0.4,0.121,1.79E-06,0.714,0.247,1,-6.91,2,0.81,0.535
0TgWgW2UYFctTDdN4GC6B7,快樂的甘蔗人,LeoWong,4,74.971,0.745,0.126,0,0.0729,0.318,1,-6.222,11,0.813,0.654
0fIeWXPUU7Z61sS9L6TduW,拖油瓶,LeoWong,4,145.89,0.849,0.393,0,0.102,0.125,0,-4.512,4,0.841,0.58
3ozjQOsAumNZjifqGfDvkd,欸 (Skit),LeoWong,3,115.916,0.774,0.402,0.0333,0.818,0.115,1,-13.217,1,0.24,0.484
3SLe9d9gWYnpavdEsMHKKU,嘿 Morrison,LeoWong,4,75.016,0.817,0.0697,1.05E-05,0.359,0.1,0,-5.165,1,0.762,0.71
1LIcJGcq3InnZmoMkkxFVn,印尼甘蔗人,LeoWong,4,74.856,0.763,0.146,0,0.23,0.253,1,-5.744,7,0.702,0.723
5xhAbQSWsQCUxQsdaa0Zbx,想起李國修,LeoWong,4,85.049,0.764,0.0811,8.2E-05,0.0734,0.346,0,-4.69,0,0.669,0.841
4W3SXAtyBFsoavnYngWHR3,靈魂拖拉庫,LeoWong,4,131.992,0.841,0.136,0,0.377,0.0598,0,-5.825,4,0.584,0.894
3NYy88OXh6mv6hpiYCk3XU,長大十八歲,LeoWong,4,86.972,0.817,0.0808,0,0.112,0.319,0,-5.239,5,0.607,0.893
4w99eXGKJ64oxJSNF9tPNs,陪妳過假日,LeoWong,4,86.062,0.5,0.174,0,0.302,0.336,0,-9.437,0,0.501,0.835
4Y5FIk5YaLmkCI3TjtBVC1,藝術家脾氣,LeoWong,4,87.529,0.735,0.114,0,0.288,0.256,1,-7.829,1,0.614,0.486
5cJVLionDFEGmqeCRLSKVo,沙豬,LeoWong,4,85.032,0.552,0.0987,0,0.324,0.227,0,-6.872,1,0.403,0.848
0W712AJ781ajUuKV0Y4Y2w,Jam All Night,LeoWong,4,79.038,0.945,0.152,0,0.0735,0.218,0,-5.221,11,0.69,0.855
4WeIvoPSmFWhDV9xVcCbew,弟弟怕姐姐,LeoWong,4,167.946,0.537,0.0565,0,0.046,0.299,0,-6.639,10,0.666,0.747
43qG6WbP9omvyGokvpCiSW,喝酒不好,LeoWong,4,80.027,0.553,0.104,0,0.128,0.406,0,-9.857,9,0.409,0.792
