id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
4BHP67WhALOVboD8BUXM6Q,我瘋了,MC Hot Dog,4,167.922,0.929,0.398,0.000855,0.0731,0.15,1,-2.876,8,0.898,0.594
6fADwOnsMmCM70OAxDF3fc,差不多先生,MC Hot Dog,4,175.973,0.507,0.183,0.00296,0.379,0.455,0,-4.229,6,0.879,0.644
6PNiCOeTCQ4SGE3X8egLTp,我給你,MC Hot Dog,4,95.996,0.899,0.337,1.82e-05,0.28,0.215,0,-4.129,3,0.893,0.777
15EQdi4GdpQ872rZeuIIxt,海洋,MC Hot Dog,4,101.987,0.772,0.153,0.000211,0.168,0.0445,1,-2.888,0,0.831,0.762
0Yd0KIaCAZeehSuF5QSd9O,謝謝啞唬,MC Hot Dog,4,92.004,0.782,0.0935,0.000689,0.04,0.117,0,-4.308,5,0.849,0.778
1W1DfNEEpwvcGg8eB3vtti,瞎王之王,MC Hot Dog,4,91.9,0.217,0.302,0.000133,0.0273,0.175,1,-4.533,9,0.66,0.792
0aSSity2mzOdmLHiDt74SJ,毒,MC Hot Dog,4,89.997,0.525,0.138,0.000641,0.0917,0.258,0,-3.365,11,0.906,0.763
2BDM5SMWtAvHm9iUSFqPRq,請拍手,MC Hot Dog,4,189.975,0.819,0.171,0.00125,0.291,0.214,1,-3.587,1,0.943,0.637
5gRE5xfVPqHlDSXKtjrGH0,怎麼能夠,MC Hot Dog,4,149.09,0.724,0.0702,0,0.275,0.14,1,-5.149,7,0.719,0.704
0jHNlPRjZ8HJ9BZGCmsJyE,他們覺得,MC Hot Dog,4,155.966,0.721,0.234,1.86e-06,0.0418,0.141,1,-2.643,8,0.978,0.463
6qNbgpH0RU21xBhjzV2ijt,INTRO INTRO,MC Hot Dog,4,174.536,0.356,0.109,0,0.402,0.868,1,-19.25,5,0.183,0.554
0YRZqXX8eB0uDetRxYixIV,我行我素,MC Hot Dog,4,91.598,0.753,0.319,0.0553,0.047,0.19,1,-4.296,6,0.913,0.818
30gzrBSWbxxENztYNk7EFp,新人王,MC Hot Dog,4,96.044,0.454,0.0635,6.14e-06,0.0673,0.234,1,-4.288,7,0.695,0.935
4GpY6pgR6ZJwTvIpk0RAfS,志玲姐姐來找我,MC Hot Dog,4,79.81,0.336,0.209,0,0.832,0.102,0,-17.737,8,0.161,0.552
3vTuu6YNTEOby4HK7bWhB2,我愛台妹,MC Hot Dog,4,107.035,0.905,0.153,0.0987,0.0781,0.0576,1,-4.313,11,0.87,0.845
1EtvNLFbMGAbGkNHPt2bzg,毋忘在莒,MC Hot Dog,4,97.948,0.0352,0.353,0.747,0.437,0.0789,0,-30.01,10,0.401,0.155
4YwNbRM1EJFIg594Rdadq9,馬祖小夜曲,MC Hot Dog,4,92.006,0.636,0.332,0.044,0.0377,0.114,1,-7.769,8,0.768,0.713
1KO16wOdW2eKPiKGxgzmLA,INTRODUCING 啞色小狗,MC Hot Dog,1,174.425,0.701,0.0933,0,0.794,0.795,0,-20.539,3,0.233,0.578
0CAbxXCUNXg7oxfAdbmcBQ,2006冠軍情歌,MC Hot Dog,4,129.938,0.682,0.0545,4.66e-06,0.169,0.0463,1,-8.55,1,0.457,0.805
2bqEmEytFC5lM15G6GOfBq,TIGER STYLE,MC Hot Dog,3,128.525,0.504,0.929,0,0.981,0.806,0,-18.167,4,0.465,0.657
5UO46btxYmDyqqpufJAODG,母老虎,MC Hot Dog,4,90.002,0.839,0.0677,2.01e-05,0.0536,0.162,1,-5.17,8,0.743,0.864
4KLmulujVFXwYwkggLt2rx,我們的PARTY最扯,MC Hot Dog,4,159.981,0.643,0.0461,0.0224,0.0319,0.0802,1,-5.011,7,0.992,0.741
3mrM2SuaFzT290rmnl2AQv,我小時候都去TU,MC Hot Dog,4,96.019,0.823,0.04,0.000983,0.139,0.197,0,-3.409,4,0.724,0.931
3tyrbevSTLidMotT8oEKzF,煩死人,MC Hot Dog,4,92.513,0.745,0.0541,0.264,0.141,0.153,1,-4.442,8,0.869,0.775
3zv9FNRaCROKMTZBDxlPJG,我的生活II,MC Hot Dog,4,184.051,0.775,0.0734,0.00757,0.0118,0.18,0,-5.412,10,0.85,0.638
5yfPC4lzmY7tC7E1iYznaR,OUTRO,MC Hot Dog,4,83.393,0.566,0.204,0,0.454,0.907,1,-25.96,10,0.183,0.663
2QmKlcc46DfEARBwlNC3RM,安可,MC Hot Dog,4,176.035,0.645,0.686,0.0219,0.0203,0.231,1,-4.982,9,0.905,0.554
2CdRlgjUUn20Q9ET2WxQP4,Intro-信仰,MC Hot Dog,4,65.97,0.179,0.587,0.687,0.00223,0.0724,1,-20.615,0,0.356,0.266
0du53Y3eCX6l81SzsNmhPL,哈狗幫,MC Hot Dog,4,93.938,0.767,0.328,0.00737,0.0114,0.247,1,-9.957,6,0.774,0.859
6TzuU93AG0TCpWCUT4O2uj,快樂,MC Hot Dog,4,83.968,0.798,0.294,4.16e-06,0.362,0.397,0,-8.411,10,0.609,0.822
0a21IsIXN9NTrMqFeJwpkk,補補補,MC Hot Dog,4,91.901,0.928,0.122,0,0.191,0.327,1,-6.338,2,0.831,0.883
4XhwpXmD4k8kWtHQtV7Y0n,Skit-1030,MC Hot Dog,4,42.645,0.0363,0.237,0.0477,0.903,0.403,1,-24.356,3,0.759,0.456
7dFcUoEY7maF3lFz9L1qMt,1030,MC Hot Dog,4,74.61,0.764,0.0772,3.56e-05,0.022,0.432,1,-6.927,5,0.511,0.602
67Ruwbc59EL3C5lnEkD3bP,十八歲,MC Hot Dog,4,94.001,0.736,0.101,1.96e-06,0.144,0.29,1,-4.368,5,0.849,0.904
6SP4MVRCWi35n4R8wOwZEo,Intro,MC Hot Dog,4,84.895,0.624,0.948,0,0.907,0.938,0,-16.065,10,0.374,0.62
32ruUkFeDJmlskcAgwUwjC,我的生活,MC Hot Dog,4,176.032,0.738,0.12,1.65e-05,0.0396,0.394,1,-9.206,6,0.666,0.669
75RQMPOW0rdsLTagzQF0Mx,十三號天使,MC Hot Dog,4,182.012,0.564,0.101,2.75e-05,0.00257,0.363,1,-9.202,1,0.618,0.789
0hmgk5p1YB9AQuNuhh9Kw8,韓流來襲,MC Hot Dog,4,92.093,0.923,0.0379,0,0.0398,0.182,1,-9.227,1,0.603,0.924
2nj1aGJUmIdNojp3ywF9jE,西門町老人,MC Hot Dog,4,187.97,0.78,0.0379,0.000107,0.028,0.351,0,-8.3,11,0.569,0.738
2kk8Ut1c8yKGJypS7Rrval,Skit,MC Hot Dog,1,120.108,0.0389,0.839,0.484,0.946,0.465,0,-26.116,2,0.658,0.285
1dgBWCfCXcC2Ku0mhW0fza,畢業,MC Hot Dog,4,90.003,0.725,0.607,0.00906,0.134,0.264,1,-11.738,8,0.464,0.845
5F5ZF6TQNeYF553eo4504x,韓流來襲(Live Version),MC Hot Dog,4,83.919,0.615,0.797,0,0.197,0.165,1,-8.672,1,0.844,0.507
